onset	duration	sample	trial_type	value	object_id	stimulus_id	onset_source	analysis_include
17.835	0.0	17835	response	6	n/a	n/a	trigger	0
17.844	0.0	17844	block_onset	101	n/a	n/a	trigger	0
19.897	0.5	19897	trained	32740	27	memtrain/o_379_2.jpg	photodiode	1
20.797	0.5	20797	trained	32754	13	memtrain/o_136_1.jpg	photodiode	1
21.598	0.5	21598	trained	32760	7	memtrain/o_091_2.jpg	photodiode	1
22.399	0.5	22399	untrained	32676	91	memtrain/o_605_1.jpg	photodiode	1
23.3	0.5	23300	untrained	32672	95	memtrain/so_125_1.jpg	photodiode	1
24.25	0.5	24250	catch	32671	n/a	catch_padded.jpg	photodiode	0
24.666	0.0	24666	response	6	n/a	n/a	trigger	0
26.202	0.5	26202	untrained	32719	48	memtrain/o_019_2.jpg	photodiode	1
26.994	0.5	26994	untrained	32712	55	memtrain/o_153_2.jpg	photodiode	1
27.945	0.5	27945	trained	32761	6	memtrain/o_076_1.jpg	photodiode	1
28.846	0.5	28846	catch	32671	n/a	catch_padded.jpg	photodiode	0
29.323	0.0	29323	response	6	n/a	n/a	trigger	0
30.756	0.5	30756	untrained	32714	53	memtrain/o_142_2.jpg	photodiode	1
31.498	0.5	31498	untrained	32702	65	memtrain/o_337_2.jpg	photodiode	1
32.399	0.5	32399	trained	32743	24	memtrain/o_357_1.jpg	photodiode	1
33.3	0.5	33300	trained	32756	11	memtrain/o_117_2.jpg	photodiode	1
34.25	0.5	34250	catch	32671	n/a	catch_padded.jpg	photodiode	0
34.692	0.0	34692	response	6	n/a	n/a	trigger	0
36.352	0.5	36352	untrained	32691	76	memtrain/o_570_1.jpg	photodiode	1
37.253	0.5	37253	untrained	32685	82	memtrain/o_656_1.jpg	photodiode	1
38.054	0.5	38054	untrained	32673	94	memtrain/so_067_1.jpg	photodiode	1
38.854	0.5	38854	trained	32753	14	memtrain/o_174_1.jpg	photodiode	1
39.655	0.5	39655	catch	32671	n/a	catch_padded.jpg	photodiode	0
40.205	0.0	40205	response	6	n/a	n/a	trigger	0
41.557	0.5	41557	trained	32745	22	memtrain/o_321_1.jpg	photodiode	1
42.316	0.5	42316	trained	32763	4	memtrain/o_042_1.jpg	photodiode	1
43.208	0.5	43208	trained	32741	26	memtrain/o_376_1.jpg	photodiode	1
43.959	0.5	43959	trained	32738	29	memtrain/o_416_1.jpg	photodiode	1
44.809	0.5	44809	catch	32671	n/a	catch_padded.jpg	photodiode	0
45.376	0.0	45376	response	6	n/a	n/a	trigger	0
46.711	0.5	46711	untrained	32706	61	memtrain/o_298_2.jpg	photodiode	1
47.462	0.5	47462	untrained	32687	80	memtrain/o_613_1.jpg	photodiode	1
48.312	0.5	48312	trained	32737	30	memtrain/o_437_2.jpg	photodiode	1
49.213	0.5	49213	catch	32671	n/a	catch_padded.jpg	photodiode	0
49.673	0.0	49673	response	6	n/a	n/a	trigger	0
51.315	0.5	51315	untrained	32679	88	memtrain/o_458_1.jpg	photodiode	1
