onset	duration	sample	trial_type	value	object_id	stimulus_id	onset_source	analysis_include
20.829	0.0	20829	response	7	n/a	n/a	trigger	0
20.839	0.0	20839	block_onset	101	n/a	n/a	trigger	0
22.892	0.5	22892	untrained	32713	54	memtrain/o_145_1.jpg	photodiode	1
23.643	0.5	23643	trained	32765	2	memtrain/o_035_1.jpg	photodiode	1
24.552	0.5	24552	untrained	32714	53	memtrain/o_142_2.jpg	photodiode	1
25.444	0.5	25444	trained	32735	32	memtrain/o_485_2.jpg	photodiode	1
26.345	0.5	26345	trained	32740	27	memtrain/o_379_2.jpg	photodiode	1
27.096	0.5	27096	catch	32671	n/a	catch_padded.jpg	photodiode	0
27.365	0.0	27365	response	7	n/a	n/a	trigger	0
29.147	0.5	29147	trained	32751	16	memtrain/o_199_2.jpg	photodiode	1
29.948	0.5	29948	trained	32722	45	memtrain/so_090_2.jpg	photodiode	1
30.841	0.5	30841	untrained	32673	94	memtrain/so_067_1.jpg	photodiode	1
31.691	0.5	31691	untrained	32681	86	memtrain/o_288_1.jpg	photodiode	1
32.492	0.5	32492	trained	32756	11	memtrain/o_117_2.jpg	photodiode	1
33.293	0.5	33293	catch	32671	n/a	catch_padded.jpg	photodiode	0
33.527	0.0	33527	response	7	n/a	n/a	trigger	0
35.194	0.5	35194	trained	32736	31	memtrain/o_465_2.jpg	photodiode	1
36.045	0.5	36045	untrained	32675	92	memtrain/so_033_1.jpg	photodiode	1
36.946	0.5	36946	trained	32734	33	memtrain/o_536_1.jpg	photodiode	1
37.846	0.5	37846	catch	32671	n/a	catch_padded.jpg	photodiode	0
38.187	0.0	38187	response	7	n/a	n/a	trigger	0
39.948	0.5	39948	trained	32750	17	memtrain/o_232_1.jpg	photodiode	1
40.749	0.5	40749	untrained	32708	59	memtrain/o_201_2.jpg	photodiode	1
41.5	0.5	41500	trained	32766	1	memtrain/o_015_1.jpg	photodiode	1
42.25	0.5	42250	trained	32762	5	memtrain/o_067_1.jpg	photodiode	1
43.151	0.5	43151	untrained	32712	55	memtrain/o_153_2.jpg	photodiode	1
43.902	0.5	43902	catch	32671	n/a	catch_padded.jpg	photodiode	0
44.239	0.0	44239	response	7	n/a	n/a	trigger	0
45.803	0.5	45803	trained	32752	15	memtrain/o_195_1.jpg	photodiode	1
46.754	0.5	46754	untrained	32701	66	memtrain/o_342_2.jpg	photodiode	1
47.555	0.5	47555	untrained	32705	62	memtrain/o_304_1.jpg	photodiode	1
48.455	0.5	48455	trained	32730	37	memtrain/o_597_1.jpg	photodiode	1
49.306	0.5	49306	untrained	32672	95	memtrain/so_125_1.jpg	photodiode	1
50.207	0.5	50207	catch	32671	n/a	catch_padded.jpg	photodiode	0
50.49	0.0	50490	response	7	n/a	n/a	trigger	0
52.309	0.5	52309	trained	32761	6	memtrain/o_076_1.jpg	photodiode	1
53.26	0.5	53260	trained	32742	25	memtrain/o_358_2.jpg	photodiode	1
54.01	0.5	54010	untrained	32686	81	memtrain/o_655_2.jpg	photodiode	1
54.911	0.5	54911	untrained	32711	56	memtrain/o_163_2.jpg	photodiode	1
55.862	0.5	55862	catch	32671	n/a	catch_padded.jpg	photodiode	0
56.11	0.0	56110	response	7	n/a	n/a	trigger	0
57.913	0.5	57913	trained	32767	0	memtrain/o_006_1.jpg	photodiode	1
58.764	0.5	58764	untrained	32695	72	memtrain/o_490_1.jpg	photodiode	1
59.615	0.5	59615	trained	32729	38	memtrain/o_603_1.jpg	photodiode	1
60.416	0.5	60416	catch	32671	n/a	catch_padded.jpg	photodiode	0
60.719	0.0	60719	response	7	n/a	n/a	trigger	0
62.409	0.5	62409	untrained	32680	87	memtrain/o_365_1.jpg	photodiode	1
63.31	0.5	63310	trained	32738	29	memtrain/o_416_1.jpg	photodiode	1
64.26	0.5	64260	untrained	32690	77	memtrain/o_574_2.jpg	photodiode	1
65.011	0.5	65011	trained	32746	21	memtrain/o_319_1.jpg	photodiode	1
65.962	0.5	65962	catch	32671	n/a	catch_padded.jpg	photodiode	0
66.187	0.0	66187	response	7	n/a	n/a	trigger	0
68.014	0.5	68014	untrained	32682	85	memtrain/o_218_1.jpg	photodiode	1
68.914	0.5	68914	untrained	32717	50	memtrain/o_057_2.jpg	photodiode	1
69.715	0.5	69715	untrained	32699	68	memtrain/o_393_1.jpg	photodiode	1
70.516	0.5	70516	trained	32720	47	memtrain/so_147_2.jpg	photodiode	1
71.266	0.5	71266	trained	32757	10	memtrain/o_111_2.jpg	photodiode	1
72.017	0.5	72017	catch	32671	n/a	catch_padded.jpg	photodiode	0
72.259	0.0	72259	response	7	n/a	n/a	trigger	0
74.119	0.5	74119	trained	32728	39	memtrain/o_606_1.jpg	photodiode	1
75.02	0.5	75020	untrained	32697	70	memtrain/o_471_2.jpg	photodiode	1
75.77	0.5	75770	trained	32744	23	memtrain/o_338_2.jpg	photodiode	1
76.571	0.5	76571	catch	32671	n/a	catch_padded.jpg	photodiode	0
76.95	0.0	76950	response	7	n/a	n/a	trigger	0
78.573	0.5	78573	untrained	32679	88	memtrain/o_458_1.jpg	photodiode	1
79.423	0.5	79423	untrained	32694	73	memtrain/o_519_2.jpg	photodiode	1
80.174	0.5	80174	trained	32733	34	memtrain/o_558_2.jpg	photodiode	1
81.025	0.5	81025	untrained	32674	93	memtrain/so_035_1.jpg	photodiode	1
81.875	0.5	81875	catch	32671	n/a	catch_padded.jpg	photodiode	0
82.168	0.0	82168	response	7	n/a	n/a	trigger	0
83.777	0.5	83777	trained	32741	26	memtrain/o_376_1.jpg	photodiode	1
84.678	0.5	84678	trained	32749	18	memtrain/o_264_2.jpg	photodiode	1
85.578	0.5	85578	trained	32727	40	memtrain/o_648_2.jpg	photodiode	1
86.429	0.5	86429	trained	32760	7	memtrain/o_091_2.jpg	photodiode	1
87.23	0.5	87230	untrained	32689	78	memtrain/o_599_1.jpg	photodiode	1
88.181	0.5	88181	catch	32671	n/a	catch_padded.jpg	photodiode	0
88.426	0.0	88426	response	7	n/a	n/a	trigger	0
90.124	0.5	90124	untrained	32704	63	memtrain/o_310_2.jpg	photodiode	1
90.925	0.5	90925	trained	32754	13	memtrain/o_136_1.jpg	photodiode	1
91.725	0.5	91725	untrained	32706	61	memtrain/o_298_2.jpg	photodiode	1
92.626	0.5	92626	catch	32671	n/a	catch_padded.jpg	photodiode	0
93.007	0.0	93007	response	7	n/a	n/a	trigger	0
94.528	0.5	94528	trained	32745	22	memtrain/o_321_1.jpg	photodiode	1
95.379	0.5	95379	trained	32747	20	memtrain/o_290_1.jpg	photodiode	1
96.329	0.5	96329	trained	32732	35	memtrain/o_561_2.jpg	photodiode	1
97.23	0.5	97230	catch	32671	n/a	catch_padded.jpg	photodiode	0
97.488	0.0	97488	response	7	n/a	n/a	trigger	0
99.132	0.5	99132	untrained	32715	52	memtrain/o_141_1.jpg	photodiode	1
99.932	0.5	99932	trained	32721	46	memtrain/so_113_1.jpg	photodiode	1
100.683	0.5	100683	trained	32723	44	memtrain/so_045_1.jpg	photodiode	1
101.634	0.5	101634	untrained	32707	60	memtrain/o_228_2.jpg	photodiode	1
102.535	0.5	102535	untrained	32685	82	memtrain/o_656_1.jpg	photodiode	1
103.385	0.5	103385	catch	32671	n/a	catch_padded.jpg	photodiode	0
103.71	0.0	103710	response	7	n/a	n/a	trigger	0
105.337	0.5	105337	untrained	32709	58	memtrain/o_192_1.jpg	photodiode	1
106.288	0.5	106288	untrained	32718	49	memtrain/o_054_2.jpg	photodiode	1
107.239	0.5	107239	trained	32759	8	memtrain/o_094_1.jpg	photodiode	1
108.189	0.5	108189	trained	32731	36	memtrain/o_583_1.jpg	photodiode	1
109.09	0.5	109090	catch	32671	n/a	catch_padded.jpg	photodiode	0
109.32	0.0	109320	response	7	n/a	n/a	trigger	0
110.992	0.5	110992	untrained	32703	64	memtrain/o_334_2.jpg	photodiode	1
111.792	0.5	111792	untrained	32710	57	memtrain/o_171_1.jpg	photodiode	1
112.643	0.5	112643	untrained	32691	76	memtrain/o_570_1.jpg	photodiode	1
113.594	0.5	113594	catch	32671	n/a	catch_padded.jpg	photodiode	0
113.875	0.0	113875	response	7	n/a	n/a	trigger	0
115.596	0.5	115596	untrained	32692	75	memtrain/o_564_1.jpg	photodiode	1
116.446	0.5	116446	untrained	32716	51	memtrain/o_103_2.jpg	photodiode	1
117.347	0.5	117347	untrained	32702	65	memtrain/o_337_2.jpg	photodiode	1
118.089	0.5	118089	untrained	32684	83	memtrain/so_105_1.jpg	photodiode	1
118.94	0.5	118940	catch	32671	n/a	catch_padded.jpg	photodiode	0
119.282	0.0	119282	response	7	n/a	n/a	trigger	0
120.842	0.5	120842	untrained	32700	67	memtrain/o_378_1.jpg	photodiode	1
121.592	0.5	121592	trained	32753	14	memtrain/o_174_1.jpg	photodiode	1
122.343	0.5	122343	untrained	32683	84	memtrain/so_117_2.jpg	photodiode	1
123.194	0.5	123194	trained	32758	9	memtrain/o_101_2.jpg	photodiode	1
124.044	0.5	124044	catch	32671	n/a	catch_padded.jpg	photodiode	0
124.301	0.0	124301	response	7	n/a	n/a	trigger	0
126.096	0.5	126096	trained	32764	3	memtrain/o_040_2.jpg	photodiode	1
127.047	0.5	127047	trained	32739	28	memtrain/o_397_1.jpg	photodiode	1
127.798	0.5	127798	trained	32724	43	memtrain/so_043_2.jpg	photodiode	1
128.598	0.5	128598	trained	32725	42	memtrain/so_034_2.jpg	photodiode	1
129.549	0.5	129549	catch	32671	n/a	catch_padded.jpg	photodiode	0
129.862	0.0	129862	response	7	n/a	n/a	trigger	0
131.601	0.5	131601	trained	32763	4	memtrain/o_042_1.jpg	photodiode	1
132.402	0.5	132402	untrained	32687	80	memtrain/o_613_1.jpg	photodiode	1
133.202	0.5	133202	trained	32748	19	memtrain/o_284_2.jpg	photodiode	1
134.103	0.5	134103	untrained	32677	90	memtrain/o_580_1.jpg	photodiode	1
135.004	0.5	135004	trained	32755	12	memtrain/o_127_2.jpg	photodiode	1
135.854	0.5	135854	catch	32671	n/a	catch_padded.jpg	photodiode	0
136.117	0.0	136117	response	7	n/a	n/a	trigger	0
137.856	0.5	137856	untrained	32678	89	memtrain/o_469_1.jpg	photodiode	1
138.807	0.5	138807	untrained	32696	71	memtrain/o_483_1.jpg	photodiode	1
139.558	0.5	139558	untrained	32688	79	memtrain/o_600_1.jpg	photodiode	1
140.458	0.5	140458	catch	32671	n/a	catch_padded.jpg	photodiode	0
140.857	0.0	140857	response	7	n/a	n/a	trigger	0
142.56	0.5	142560	untrained	32698	69	memtrain/o_464_2.jpg	photodiode	1
143.361	0.5	143361	trained	32737	30	memtrain/o_437_2.jpg	photodiode	1
144.262	0.5	144262	untrained	32719	48	memtrain/o_019_2.jpg	photodiode	1
145.112	0.5	145112	trained	32726	41	memtrain/o_663_2.jpg	photodiode	1
145.963	0.5	145963	trained	32743	24	memtrain/o_357_1.jpg	photodiode	1
146.856	0.5	146856	catch	32671	n/a	catch_padded.jpg	photodiode	0
147.082	0.0	147082	response	7	n/a	n/a	trigger	0
148.857	0.5	148857	untrained	32676	91	memtrain/o_605_1.jpg	photodiode	1
149.808	0.5	149808	untrained	32693	74	memtrain/o_550_1.jpg	photodiode	1
150.609	0.5	150609	trained	32722	45	memtrain/so_090_2.jpg	photodiode	1
151.359	0.5	151359	trained	32745	22	memtrain/o_321_1.jpg	photodiode	1
152.11	0.5	152110	catch	32671	n/a	catch_padded.jpg	photodiode	0
152.397	0.0	152397	response	7	n/a	n/a	trigger	0
154.062	0.5	154062	trained	32765	2	memtrain/o_035_1.jpg	photodiode	1
