onset	duration	sample	trial_type	value	object_id	stimulus_id	onset_source	analysis_include
18.814	0.0	18814	response	6	n/a	n/a	trigger	0
18.819	0.0	18819	block_onset	101	n/a	n/a	trigger	0
20.878	0.5	20878	trained	32767	0	memtrain/o_006_1.jpg	photodiode	1
21.629	0.5	21629	trained	32721	46	memtrain/so_113_1.jpg	photodiode	1
22.58	0.5	22580	trained	32738	29	memtrain/o_416_1.jpg	photodiode	1
23.33	0.5	23330	trained	32722	45	memtrain/so_090_2.jpg	photodiode	1
24.181	0.5	24181	catch	32671	n/a	catch_padded.jpg	photodiode	0
24.551	0.0	24551	response	6	n/a	n/a	trigger	0
26.283	0.5	26283	untrained	32699	68	memtrain/o_393_1.jpg	photodiode	1
27.233	0.5	27233	trained	32766	1	memtrain/o_015_1.jpg	photodiode	1
28.126	0.5	28126	trained	32725	42	memtrain/so_034_2.jpg	photodiode	1
28.877	0.5	28877	untrained	32695	72	memtrain/o_490_1.jpg	photodiode	1
29.677	0.5	29677	trained	32753	14	memtrain/o_174_1.jpg	photodiode	1
30.536	0.5	30536	catch	32671	n/a	catch_padded.jpg	photodiode	0
30.944	0.0	30944	response	6	n/a	n/a	trigger	0
32.63	0.5	32630	untrained	32672	95	memtrain/so_125_1.jpg	photodiode	1
33.439	0.5	33439	trained	32728	39	memtrain/o_606_1.jpg	photodiode	1
34.381	0.5	34381	untrained	32706	61	memtrain/o_298_2.jpg	photodiode	1
35.282	0.5	35282	catch	32671	n/a	catch_padded.jpg	photodiode	0
35.61	0.0	35610	response	6	n/a	n/a	trigger	0
37.334	0.5	37334	trained	32758	9	memtrain/o_101_2.jpg	photodiode	1
38.285	0.5	38285	trained	32748	19	memtrain/o_284_2.jpg	photodiode	1
39.035	0.5	39035	trained	32735	32	memtrain/o_485_2.jpg	photodiode	1
39.786	0.5	39786	untrained	32712	55	memtrain/o_153_2.jpg	photodiode	1
40.637	0.5	40637	catch	32671	n/a	catch_padded.jpg	photodiode	0
40.975	0.0	40975	response	6	n/a	n/a	trigger	0
42.538	0.5	42538	trained	32737	30	memtrain/o_437_2.jpg	photodiode	1
43.389	0.5	43389	trained	32746	21	memtrain/o_319_1.jpg	photodiode	1
44.24	0.5	44240	untrained	32705	62	memtrain/o_304_1.jpg	photodiode	1
45.04	0.5	45040	catch	32671	n/a	catch_padded.jpg	photodiode	0
45.433	0.0	45433	response	6	n/a	n/a	trigger	0
47.042	0.5	47042	trained	32739	28	memtrain/o_397_1.jpg	photodiode	1
47.943	0.5	47943	untrained	32675	92	memtrain/so_033_1.jpg	photodiode	1
48.844	0.5	48844	untrained	32684	83	memtrain/so_105_1.jpg	photodiode	1
49.644	0.5	49644	untrained	32691	76	memtrain/o_570_1.jpg	photodiode	1
50.495	0.5	50495	catch	32671	n/a	catch_padded.jpg	photodiode	0
50.833	0.0	50833	response	6	n/a	n/a	trigger	0
52.397	0.5	52397	untrained	32696	71	memtrain/o_483_1.jpg	photodiode	1
53.197	0.5	53197	untrained	32680	87	memtrain/o_365_1.jpg	photodiode	1
53.948	0.5	53948	trained	32729	38	memtrain/o_603_1.jpg	photodiode	1
54.749	0.5	54749	trained	32742	25	memtrain/o_358_2.jpg	photodiode	1
55.599	0.5	55599	trained	32764	3	memtrain/o_040_2.jpg	photodiode	1
56.542	0.5	56542	catch	32671	n/a	catch_padded.jpg	photodiode	0
56.815	0.0	56815	response	6	n/a	n/a	trigger	0
58.493	0.5	58493	trained	32763	4	memtrain/o_042_1.jpg	photodiode	1
59.294	0.5	59294	untrained	32688	79	memtrain/o_600_1.jpg	photodiode	1
60.245	0.5	60245	trained	32762	5	memtrain/o_067_1.jpg	photodiode	1
61.146	0.5	61146	trained	32732	35	memtrain/o_561_2.jpg	photodiode	1
62.046	0.5	62046	trained	32724	43	memtrain/so_043_2.jpg	photodiode	1
62.797	0.5	62797	catch	32671	n/a	catch_padded.jpg	photodiode	0
63.084	0.0	63084	response	6	n/a	n/a	trigger	0
64.699	0.5	64699	untrained	32686	81	memtrain/o_655_2.jpg	photodiode	1
65.499	0.5	65499	trained	32736	31	memtrain/o_465_2.jpg	photodiode	1
66.25	0.5	66250	untrained	32717	50	memtrain/o_057_2.jpg	photodiode	1
67.001	0.5	67001	catch	32671	n/a	catch_padded.jpg	photodiode	0
67.365	0.0	67365	response	6	n/a	n/a	trigger	0
69.002	0.5	69002	untrained	32701	66	memtrain/o_342_2.jpg	photodiode	1
69.753	0.5	69753	untrained	32718	49	memtrain/o_054_2.jpg	photodiode	1
70.654	0.5	70654	trained	32760	7	memtrain/o_091_2.jpg	photodiode	1
71.504	0.5	71504	catch	32671	n/a	catch_padded.jpg	photodiode	0
71.83	0.0	71830	response	6	n/a	n/a	trigger	0
73.506	0.5	73506	trained	32734	33	memtrain/o_536_1.jpg	photodiode	1
74.457	0.5	74457	untrained	32707	60	memtrain/o_228_2.jpg	photodiode	1
75.408	0.5	75408	untrained	32702	65	memtrain/o_337_2.jpg	photodiode	1
76.158	0.5	76158	untrained	32676	91	memtrain/o_605_1.jpg	photodiode	1
76.959	0.5	76959	untrained	32716	51	memtrain/o_103_2.jpg	photodiode	1
77.71	0.5	77710	catch	32671	n/a	catch_padded.jpg	photodiode	0
78.022	0.0	78022	response	6	n/a	n/a	trigger	0
79.611	0.5	79611	trained	32741	26	memtrain/o_376_1.jpg	photodiode	1
80.462	0.5	80462	untrained	32713	54	memtrain/o_145_1.jpg	photodiode	1
81.413	0.5	81413	trained	32754	13	memtrain/o_136_1.jpg	photodiode	1
82.364	0.5	82364	untrained	32687	80	memtrain/o_613_1.jpg	photodiode	1
83.314	0.5	83314	trained	32752	15	memtrain/o_195_1.jpg	photodiode	1
84.165	0.5	84165	catch	32671	n/a	catch_padded.jpg	photodiode	0
84.458	0.0	84458	response	6	n/a	n/a	trigger	0
86.217	0.5	86217	untrained	32708	59	memtrain/o_201_2.jpg	photodiode	1
87.059	0.5	87059	untrained	32690	77	memtrain/o_574_2.jpg	photodiode	1
88.01	0.5	88010	trained	32727	40	memtrain/o_648_2.jpg	photodiode	1
88.811	0.5	88811	trained	32743	24	memtrain/o_357_1.jpg	photodiode	1
89.662	0.5	89662	catch	32671	n/a	catch_padded.jpg	photodiode	0
89.966	0.0	89966	response	6	n/a	n/a	trigger	0
91.613	0.5	91613	untrained	32704	63	memtrain/o_310_2.jpg	photodiode	1
92.464	0.5	92464	trained	32765	2	memtrain/o_035_1.jpg	photodiode	1
93.365	0.5	93365	trained	32751	16	memtrain/o_199_2.jpg	photodiode	1
94.215	0.5	94215	trained	32740	27	memtrain/o_379_2.jpg	photodiode	1
94.974	0.5	94974	catch	32671	n/a	catch_padded.jpg	photodiode	0
95.318	0.0	95318	response	6	n/a	n/a	trigger	0
97.018	0.5	97018	untrained	32700	67	memtrain/o_378_1.jpg	photodiode	1
97.818	0.5	97818	untrained	32692	75	memtrain/o_564_1.jpg	photodiode	1
98.569	0.5	98569	untrained	32678	89	memtrain/o_469_1.jpg	photodiode	1
99.42	0.5	99420	trained	32759	8	memtrain/o_094_1.jpg	photodiode	1
100.271	0.5	100271	catch	32671	n/a	catch_padded.jpg	photodiode	0
100.583	0.0	100583	response	6	n/a	n/a	trigger	0
102.222	0.5	102222	untrained	32694	73	memtrain/o_519_2.jpg	photodiode	1
103.123	0.5	103123	trained	32747	20	memtrain/o_290_1.jpg	photodiode	1
103.924	0.5	103924	untrained	32682	85	memtrain/o_218_1.jpg	photodiode	1
104.874	0.5	104874	trained	32745	22	memtrain/o_321_1.jpg	photodiode	1
105.625	0.5	105625	untrained	32709	58	memtrain/o_192_1.jpg	photodiode	1
106.476	0.5	106476	catch	32671	n/a	catch_padded.jpg	photodiode	0
106.775	0.0	106775	response	6	n/a	n/a	trigger	0
108.528	0.5	108528	trained	32749	18	memtrain/o_264_2.jpg	photodiode	1
109.328	0.5	109328	trained	32720	47	memtrain/so_147_2.jpg	photodiode	1
110.229	0.5	110229	untrained	32693	74	memtrain/o_550_1.jpg	photodiode	1
111.18	0.5	111180	untrained	32673	94	memtrain/so_067_1.jpg	photodiode	1
111.93	0.5	111930	untrained	32681	86	memtrain/o_288_1.jpg	photodiode	1
112.881	0.5	112881	catch	32671	n/a	catch_padded.jpg	photodiode	0
113.264	0.0	113264	response	6	n/a	n/a	trigger	0
114.983	0.5	114983	trained	32761	6	memtrain/o_076_1.jpg	photodiode	1
115.925	0.5	115925	untrained	32683	84	memtrain/so_117_2.jpg	photodiode	1
116.876	0.5	116876	untrained	32689	78	memtrain/o_599_1.jpg	photodiode	1
