onset	duration	sample	trial_type	value	object_id	stimulus_id	onset_source	analysis_include
55.006	0.0	55006	response	6	n/a	n/a	trigger	0
55.016	0.0	55016	block_onset	101	n/a	n/a	trigger	0
57.07	0.5	57070	trained	32750	17	memtrain/o_232_1.jpg	photodiode	1
57.829	0.5	57829	untrained	32686	81	memtrain/o_655_2.jpg	photodiode	1
58.571	0.5	58571	trained	32758	9	memtrain/o_101_2.jpg	photodiode	1
59.322	0.5	59322	catch	32671	n/a	catch_padded.jpg	photodiode	0
59.651	0.0	59651	response	6	n/a	n/a	trigger	0
61.423	0.5	61423	trained	32734	33	memtrain/o_536_1.jpg	photodiode	1
62.274	0.5	62274	trained	32760	7	memtrain/o_091_2.jpg	photodiode	1
63.125	0.5	63125	untrained	32684	83	memtrain/so_105_1.jpg	photodiode	1
64.026	0.5	64026	catch	32671	n/a	catch_padded.jpg	photodiode	0
64.363	0.0	64363	response	6	n/a	n/a	trigger	0
65.919	0.5	65919	untrained	32692	75	memtrain/o_564_1.jpg	photodiode	1
66.67	0.5	66670	untrained	32718	49	memtrain/o_054_2.jpg	photodiode	1
67.42	0.5	67420	untrained	32694	73	memtrain/o_519_2.jpg	photodiode	1
68.171	0.5	68171	trained	32744	23	memtrain/o_338_2.jpg	photodiode	1
69.022	0.5	69022	catch	32671	n/a	catch_padded.jpg	photodiode	0
69.336	0.0	69336	response	6	n/a	n/a	trigger	0
71.123	0.5	71123	untrained	32705	62	memtrain/o_304_1.jpg	photodiode	1
71.974	0.5	71974	trained	32757	10	memtrain/o_111_2.jpg	photodiode	1
72.725	0.5	72725	trained	32737	30	memtrain/o_437_2.jpg	photodiode	1
73.676	0.5	73676	untrained	32699	68	memtrain/o_393_1.jpg	photodiode	1
74.526	0.5	74526	catch	32671	n/a	catch_padded.jpg	photodiode	0
74.803	0.0	74803	response	6	n/a	n/a	trigger	0
76.528	0.5	76528	untrained	32676	91	memtrain/o_605_1.jpg	photodiode	1
77.329	0.5	77329	untrained	32675	92	memtrain/so_033_1.jpg	photodiode	1
78.129	0.5	78129	trained	32740	27	memtrain/o_379_2.jpg	photodiode	1
78.93	0.5	78930	untrained	32683	84	memtrain/so_117_2.jpg	photodiode	1
79.881	0.5	79881	catch	32671	n/a	catch_padded.jpg	photodiode	0
80.165	0.0	80165	response	6	n/a	n/a	trigger	0
81.983	0.5	81983	trained	32753	14	memtrain/o_174_1.jpg	photodiode	1
82.833	0.5	82833	trained	32762	5	memtrain/o_067_1.jpg	photodiode	1
83.684	0.5	83684	trained	32759	8	memtrain/o_094_1.jpg	photodiode	1
84.635	0.5	84635	untrained	32693	74	memtrain/o_550_1.jpg	photodiode	1
85.536	0.5	85536	trained	32743	24	memtrain/o_357_1.jpg	photodiode	1
86.286	0.5	86286	catch	32671	n/a	catch_padded.jpg	photodiode	0
86.581	0.0	86581	response	6	n/a	n/a	trigger	0
88.188	0.5	88188	untrained	32714	53	memtrain/o_142_2.jpg	photodiode	1
88.939	0.5	88939	untrained	32680	87	memtrain/o_365_1.jpg	photodiode	1
89.789	0.5	89789	trained	32755	12	memtrain/o_127_2.jpg	photodiode	1
90.59	0.5	90590	catch	32671	n/a	catch_padded.jpg	photodiode	0
90.96	0.0	90960	response	6	n/a	n/a	trigger	0
92.683	0.5	92683	trained	32725	42	memtrain/so_034_2.jpg	photodiode	1
93.534	0.5	93534	trained	32733	34	memtrain/o_558_2.jpg	photodiode	1
94.435	0.5	94435	trained	32752	15	memtrain/o_195_1.jpg	photodiode	1
95.244	0.5	95244	trained	32748	19	memtrain/o_284_2.jpg	photodiode	1
95.995	0.5	95995	untrained	32689	78	memtrain/o_599_1.jpg	photodiode	1
96.737	0.5	96737	catch	32671	n/a	catch_padded.jpg	photodiode	0
97.042	0.0	97042	response	6	n/a	n/a	trigger	0
98.738	0.5	98738	untrained	32713	54	memtrain/o_145_1.jpg	photodiode	1
99.539	0.5	99539	trained	32766	1	memtrain/o_015_1.jpg	photodiode	1
100.49	0.5	100490	trained	32767	0	memtrain/o_006_1.jpg	photodiode	1
101.341	0.5	101341	trained	32746	21	memtrain/o_319_1.jpg	photodiode	1
102.141	0.5	102141	catch	32671	n/a	catch_padded.jpg	photodiode	0
102.461	0.0	102461	response	6	n/a	n/a	trigger	0
104.101	0.5	104101	untrained	32696	71	memtrain/o_483_1.jpg	photodiode	1
104.944	0.5	104944	trained	32732	35	memtrain/o_561_2.jpg	photodiode	1
105.844	0.5	105844	trained	32764	3	memtrain/o_040_2.jpg	photodiode	1
106.795	0.5	106795	trained	32738	29	memtrain/o_416_1.jpg	photodiode	1
107.596	0.5	107596	catch	32671	n/a	catch_padded.jpg	photodiode	0
107.865	0.0	107865	response	6	n/a	n/a	trigger	0
109.648	0.5	109648	untrained	32679	88	memtrain/o_458_1.jpg	photodiode	1
110.448	0.5	110448	untrained	32672	95	memtrain/so_125_1.jpg	photodiode	1
111.199	0.5	111199	trained	32722	45	memtrain/so_090_2.jpg	photodiode	1
112.1	0.5	112100	catch	32671	n/a	catch_padded.jpg	photodiode	0
112.559	0.0	112559	response	6	n/a	n/a	trigger	0
