onset	duration	sample	trial_type	value	object_id	stimulus_id	onset_source	analysis_include
50.601	0.0	50601	response	6	n/a	n/a	trigger	0
50.607	0.0	50607	block_onset	101	n/a	n/a	trigger	0
52.662	0.5	52662	trained	32766	1	memtrain/o_015_1.jpg	photodiode	1
53.412	0.5	53412	untrained	32714	53	memtrain/o_142_2.jpg	photodiode	1
54.313	0.5	54313	trained	32732	35	memtrain/o_561_2.jpg	photodiode	1
55.164	0.5	55164	untrained	32680	87	memtrain/o_365_1.jpg	photodiode	1
55.965	0.5	55965	catch	32671	n/a	catch_padded.jpg	photodiode	0
56.343	0.0	56343	response	6	n/a	n/a	trigger	0
58.066	0.5	58066	trained	32745	22	memtrain/o_321_1.jpg	photodiode	1
58.859	0.5	58859	trained	32767	0	memtrain/o_006_1.jpg	photodiode	1
59.759	0.5	59759	trained	32734	33	memtrain/o_536_1.jpg	photodiode	1
60.66	0.5	60660	untrained	32674	93	memtrain/so_035_1.jpg	photodiode	1
61.511	0.5	61511	catch	32671	n/a	catch_padded.jpg	photodiode	0
61.82	0.0	61820	response	6	n/a	n/a	trigger	0
63.413	0.5	63413	trained	32724	43	memtrain/so_043_2.jpg	photodiode	1
64.263	0.5	64263	untrained	32689	78	memtrain/o_599_1.jpg	photodiode	1
65.164	0.5	65164	trained	32748	19	memtrain/o_284_2.jpg	photodiode	1
65.915	0.5	65915	untrained	32705	62	memtrain/o_304_1.jpg	photodiode	1
66.765	0.5	66765	untrained	32711	56	memtrain/o_163_2.jpg	photodiode	1
67.716	0.5	67716	catch	32671	n/a	catch_padded.jpg	photodiode	0
68.049	0.0	68049	response	6	n/a	n/a	trigger	0
69.768	0.5	69768	trained	32751	16	memtrain/o_199_2.jpg	photodiode	1
70.619	0.5	70619	untrained	32706	61	memtrain/o_298_2.jpg	photodiode	1
71.469	0.5	71469	trained	32738	29	memtrain/o_416_1.jpg	photodiode	1
72.37	0.5	72370	untrained	32684	83	memtrain/so_105_1.jpg	photodiode	1
73.171	0.5	73171	catch	32671	n/a	catch_padded.jpg	photodiode	0
73.493	0.0	73493	response	6	n/a	n/a	trigger	0
75.122	0.5	75122	untrained	32712	55	memtrain/o_153_2.jpg	photodiode	1
75.923	0.5	75923	trained	32728	39	memtrain/o_606_1.jpg	photodiode	1
76.774	0.5	76774	untrained	32716	51	memtrain/o_103_2.jpg	photodiode	1
77.575	0.5	77575	catch	32671	n/a	catch_padded.jpg	photodiode	0
77.935	0.0	77935	response	6	n/a	n/a	trigger	0
79.476	0.5	79476	untrained	32685	82	memtrain/o_656_1.jpg	photodiode	1
80.277	0.5	80277	trained	32757	10	memtrain/o_111_2.jpg	photodiode	1
