onset	duration	sample	trial_type	value	object_id	stimulus_id	onset_source	analysis_include
25.44	0.0	25440	response	6	n/a	n/a	trigger	0
25.453	0.0	25453	block_onset	101	n/a	n/a	trigger	0
27.508	0.5	27508	trained	32760	7	memtrain/o_091_2.jpg	photodiode	0
28.359	0.5	28359	trained	32750	17	memtrain/o_232_1.jpg	photodiode	0
29.109	0.5	29109	trained	32758	9	memtrain/o_101_2.jpg	photodiode	0
29.86	0.5	29860	trained	32756	11	memtrain/o_117_2.jpg	photodiode	0
30.661	0.5	30661	catch	32671	n/a	catch_padded.jpg	photodiode	0
30.874	0.0	30874	response	6	n/a	n/a	trigger	0
32.712	0.5	32712	untrained	32718	49	memtrain/o_054_2.jpg	photodiode	0
33.663	0.5	33663	untrained	32700	67	memtrain/o_378_1.jpg	photodiode	0
34.505	0.5	34505	trained	32736	31	memtrain/o_465_2.jpg	photodiode	0
35.465	0.5	35465	untrained	32672	95	memtrain/so_125_1.jpg	photodiode	0
36.366	0.5	36366	untrained	32714	53	memtrain/o_142_2.jpg	photodiode	0
37.216	0.5	37216	catch	32671	n/a	catch_padded.jpg	photodiode	0
37.523	0.0	37523	response	6	n/a	n/a	trigger	0
39.168	0.5	39168	untrained	32705	62	memtrain/o_304_1.jpg	photodiode	0
39.91	0.5	39910	untrained	32716	51	memtrain/o_103_2.jpg	photodiode	0
40.819	0.5	40819	untrained	32690	77	memtrain/o_574_2.jpg	photodiode	0
41.612	0.5	41612	trained	32755	12	memtrain/o_127_2.jpg	photodiode	0
42.471	0.5	42471	catch	32671	n/a	catch_padded.jpg	photodiode	0
42.816	0.0	42816	response	6	n/a	n/a	trigger	0
44.564	0.5	44564	trained	32735	32	memtrain/o_485_2.jpg	photodiode	0
45.315	0.5	45315	trained	32732	35	memtrain/o_561_2.jpg	photodiode	0
46.165	0.5	46165	untrained	32719	48	memtrain/o_019_2.jpg	photodiode	0
47.116	0.5	47116	trained	32765	2	memtrain/o_035_1.jpg	photodiode	0
48.017	0.5	48017	untrained	32686	81	memtrain/o_655_2.jpg	photodiode	0
48.818	0.5	48818	catch	32671	n/a	catch_padded.jpg	photodiode	0
49.067	0.0	49067	response	6	n/a	n/a	trigger	0
50.919	0.5	50919	trained	32724	43	memtrain/so_043_2.jpg	photodiode	0
51.72	0.5	51720	trained	32731	36	memtrain/o_583_1.jpg	photodiode	0
52.621	0.5	52621	untrained	32706	61	memtrain/o_298_2.jpg	photodiode	0
53.572	0.5	53572	untrained	32717	50	memtrain/o_057_2.jpg	photodiode	0
54.472	0.5	54472	catch	32671	n/a	catch_padded.jpg	photodiode	0
54.811	0.0	54811	response	6	n/a	n/a	trigger	0
56.424	0.5	56424	trained	32753	14	memtrain/o_174_1.jpg	photodiode	0
57.225	0.5	57225	trained	32762	5	memtrain/o_067_1.jpg	photodiode	0
58.075	0.5	58075	trained	32730	37	memtrain/o_597_1.jpg	photodiode	0
58.976	0.5	58976	trained	32725	42	memtrain/so_034_2.jpg	photodiode	0
59.927	0.5	59927	catch	32671	n/a	catch_padded.jpg	photodiode	0
60.266	0.0	60266	response	6	n/a	n/a	trigger	0
61.929	0.5	61929	untrained	32691	76	memtrain/o_570_1.jpg	photodiode	0
62.729	0.5	62729	trained	32757	10	memtrain/o_111_2.jpg	photodiode	0
63.58	0.5	63580	trained	32721	46	memtrain/so_113_1.jpg	photodiode	0
64.481	0.5	64481	trained	32738	29	memtrain/o_416_1.jpg	photodiode	0
65.332	0.5	65332	catch	32671	n/a	catch_padded.jpg	photodiode	0
65.684	0.0	65684	response	6	n/a	n/a	trigger	0
67.333	0.5	67333	untrained	32702	65	memtrain/o_337_2.jpg	photodiode	0
68.134	0.5	68134	untrained	32704	63	memtrain/o_310_2.jpg	photodiode	0
69.077	0.5	69077	trained	32766	1	memtrain/o_015_1.jpg	photodiode	0
69.835	0.5	69835	catch	32671	n/a	catch_padded.jpg	photodiode	0
70.179	0.0	70179	response	6	n/a	n/a	trigger	0
71.729	0.5	71729	untrained	32688	79	memtrain/o_600_1.jpg	photodiode	0
72.63	0.5	72630	untrained	32682	85	memtrain/o_218_1.jpg	photodiode	0
73.48	0.5	73480	untrained	32674	93	memtrain/so_035_1.jpg	photodiode	0
74.281	0.5	74281	untrained	32693	74	memtrain/o_550_1.jpg	photodiode	0
75.232	0.5	75232	catch	32671	n/a	catch_padded.jpg	photodiode	0
75.448	0.0	75448	response	6	n/a	n/a	trigger	0
77.334	0.5	77334	untrained	32692	75	memtrain/o_564_1.jpg	photodiode	0
78.134	0.5	78134	untrained	32694	73	memtrain/o_519_2.jpg	photodiode	0
79.035	0.5	79035	trained	32741	26	memtrain/o_376_1.jpg	photodiode	0
79.836	0.5	79836	catch	32671	n/a	catch_padded.jpg	photodiode	0
80.2	0.0	80200	response	6	n/a	n/a	trigger	0
81.937	0.5	81937	trained	32763	4	memtrain/o_042_1.jpg	photodiode	0
82.838	0.5	82838	trained	32740	27	memtrain/o_379_2.jpg	photodiode	0
83.639	0.5	83639	trained	32720	47	memtrain/so_147_2.jpg	photodiode	0
84.54	0.5	84540	untrained	32679	88	memtrain/o_458_1.jpg	photodiode	0
85.29	0.5	85290	catch	32671	n/a	catch_padded.jpg	photodiode	0
85.627	0.0	85627	response	6	n/a	n/a	trigger	0
87.392	0.5	87392	untrained	32712	55	memtrain/o_153_2.jpg	photodiode	0
88.243	0.5	88243	untrained	32677	90	memtrain/o_580_1.jpg	photodiode	0
89.044	0.5	89044	untrained	32675	92	memtrain/so_033_1.jpg	photodiode	0
89.794	0.5	89794	catch	32671	n/a	catch_padded.jpg	photodiode	0
90.161	0.0	90161	response	6	n/a	n/a	trigger	0
91.846	0.5	91846	trained	32728	39	memtrain/o_606_1.jpg	photodiode	0
92.647	0.5	92647	trained	32747	20	memtrain/o_290_1.jpg	photodiode	0
93.447	0.5	93447	trained	32742	25	memtrain/o_358_2.jpg	photodiode	0
94.348	0.5	94348	trained	32723	44	memtrain/so_045_1.jpg	photodiode	0
95.299	0.5	95299	catch	32671	n/a	catch_padded.jpg	photodiode	0
95.531	0.0	95531	response	6	n/a	n/a	trigger	0
97.2	0.5	97200	untrained	32696	71	memtrain/o_483_1.jpg	photodiode	0
97.951	0.5	97951	untrained	32701	66	memtrain/o_342_2.jpg	photodiode	0
98.743	0.5	98743	trained	32722	45	memtrain/so_090_2.jpg	photodiode	0
99.703	0.5	99703	untrained	32680	87	memtrain/o_365_1.jpg	photodiode	0
100.445	0.5	100445	untrained	32676	91	memtrain/o_605_1.jpg	photodiode	0
101.396	0.5	101396	catch	32671	n/a	catch_padded.jpg	photodiode	0
101.64	0.0	101640	response	6	n/a	n/a	trigger	0
103.497	0.5	103497	trained	32752	15	memtrain/o_195_1.jpg	photodiode	0
104.348	0.5	104348	untrained	32678	89	memtrain/o_469_1.jpg	photodiode	0
105.249	0.5	105249	trained	32729	38	memtrain/o_603_1.jpg	photodiode	0
106.1	0.5	106100	untrained	32683	84	memtrain/so_117_2.jpg	photodiode	0
107.05	0.5	107050	untrained	32707	60	memtrain/o_228_2.jpg	photodiode	0
107.801	0.5	107801	catch	32671	n/a	catch_padded.jpg	photodiode	0
108.092	0.0	108092	response	6	n/a	n/a	trigger	0
109.803	0.5	109803	trained	32749	18	memtrain/o_264_2.jpg	photodiode	0
110.553	0.5	110553	untrained	32703	64	memtrain/o_334_2.jpg	photodiode	0
111.454	0.5	111454	trained	32727	40	memtrain/o_648_2.jpg	photodiode	0
112.355	0.5	112355	trained	32761	6	memtrain/o_076_1.jpg	photodiode	0
113.256	0.5	113256	catch	32671	n/a	catch_padded.jpg	photodiode	0
113.631	0.0	113631	response	6	n/a	n/a	trigger	0
115.257	0.5	115257	untrained	32710	57	memtrain/o_171_1.jpg	photodiode	0
116.008	0.5	116008	untrained	32687	80	memtrain/o_613_1.jpg	photodiode	0
116.959	0.5	116959	untrained	32673	94	memtrain/so_067_1.jpg	photodiode	0
117.709	0.5	117709	catch	32671	n/a	catch_padded.jpg	photodiode	0
118.044	0.0	118044	response	6	n/a	n/a	trigger	0
119.811	0.5	119811	untrained	32681	86	memtrain/o_288_1.jpg	photodiode	0
120.762	0.5	120762	trained	32751	16	memtrain/o_199_2.jpg	photodiode	0
121.663	0.5	121663	trained	32745	22	memtrain/o_321_1.jpg	photodiode	0
122.513	0.5	122513	trained	32734	33	memtrain/o_536_1.jpg	photodiode	0
123.414	0.5	123414	trained	32754	13	memtrain/o_136_1.jpg	photodiode	0
124.265	0.5	124265	catch	32671	n/a	catch_padded.jpg	photodiode	0
124.552	0.0	124552	response	6	n/a	n/a	trigger	0
126.167	0.5	126167	untrained	32699	68	memtrain/o_393_1.jpg	photodiode	0
127.117	0.5	127117	untrained	32685	82	memtrain/o_656_1.jpg	photodiode	0
128.06	0.5	128060	untrained	32697	70	memtrain/o_471_2.jpg	photodiode	0
129.011	0.5	129011	catch	32671	n/a	catch_padded.jpg	photodiode	0
129.36	0.0	129360	response	6	n/a	n/a	trigger	0
131.012	0.5	131012	untrained	32708	59	memtrain/o_201_2.jpg	photodiode	0
131.813	0.5	131813	untrained	32713	54	memtrain/o_145_1.jpg	photodiode	0
132.764	0.5	132764	trained	32743	24	memtrain/o_357_1.jpg	photodiode	0
133.565	0.5	133565	catch	32671	n/a	catch_padded.jpg	photodiode	0
133.928	0.0	133928	response	6	n/a	n/a	trigger	0
135.466	0.5	135466	trained	32767	0	memtrain/o_006_1.jpg	photodiode	0
136.267	0.5	136267	trained	32744	23	memtrain/o_338_2.jpg	photodiode	0
