onset	duration	sample	trial_type	value	object_id	stimulus_id	onset_source	analysis_include
20.122	0.0	20122	response	7	n/a	n/a	trigger	0
20.132	0.0	20132	block_onset	101	n/a	n/a	trigger	0
22.188	0.5	22188	trained	32737	30	memtrain/o_437_2.jpg	photodiode	1
22.938	0.5	22938	untrained	32706	61	memtrain/o_298_2.jpg	photodiode	1
23.889	0.5	23889	trained	32744	23	memtrain/o_338_2.jpg	photodiode	1
24.79	0.5	24790	trained	32723	44	memtrain/so_045_1.jpg	photodiode	1
25.64	0.5	25640	trained	32731	36	memtrain/o_583_1.jpg	photodiode	1
26.441	0.5	26441	catch	32671	n/a	catch_padded.jpg	photodiode	0
26.807	0.0	26807	response	7	n/a	n/a	trigger	0
28.493	0.5	28493	untrained	32703	64	memtrain/o_334_2.jpg	photodiode	1
29.294	0.5	29294	untrained	32692	75	memtrain/o_564_1.jpg	photodiode	1
30.036	0.5	30036	trained	32746	21	memtrain/o_319_1.jpg	photodiode	1
30.936	0.5	30936	untrained	32672	95	memtrain/so_125_1.jpg	photodiode	1
31.737	0.5	31737	trained	32725	42	memtrain/so_034_2.jpg	photodiode	1
32.538	0.5	32538	catch	32671	n/a	catch_padded.jpg	photodiode	0
32.901	0.0	32901	response	7	n/a	n/a	trigger	0
34.439	0.5	34439	trained	32732	35	memtrain/o_561_2.jpg	photodiode	1
35.39	0.5	35390	trained	32748	19	memtrain/o_284_2.jpg	photodiode	1
36.341	0.5	36341	untrained	32697	70	memtrain/o_471_2.jpg	photodiode	1
37.092	0.5	37092	catch	32671	n/a	catch_padded.jpg	photodiode	0
37.506	0.0	37506	response	7	n/a	n/a	trigger	0
39.093	0.5	39093	trained	32745	22	memtrain/o_321_1.jpg	photodiode	1
39.994	0.5	39994	trained	32749	18	memtrain/o_264_2.jpg	photodiode	1
40.795	0.5	40795	trained	32752	15	memtrain/o_195_1.jpg	photodiode	1
41.645	0.5	41645	catch	32671	n/a	catch_padded.jpg	photodiode	0
42.021	0.0	42021	response	7	n/a	n/a	trigger	0
43.547	0.5	43547	untrained	32712	55	memtrain/o_153_2.jpg	photodiode	1
44.348	0.5	44348	untrained	32696	71	memtrain/o_483_1.jpg	photodiode	1
45.249	0.5	45249	untrained	32679	88	memtrain/o_458_1.jpg	photodiode	1
46.049	0.5	46049	untrained	32713	54	memtrain/o_145_1.jpg	photodiode	1
46.9	0.5	46900	catch	32671	n/a	catch_padded.jpg	photodiode	0
47.288	0.0	47288	response	7	n/a	n/a	trigger	0
48.952	0.5	48952	untrained	32717	50	memtrain/o_057_2.jpg	photodiode	1
49.852	0.5	49852	untrained	32680	87	memtrain/o_365_1.jpg	photodiode	1
50.653	0.5	50653	trained	32750	17	memtrain/o_232_1.jpg	photodiode	1
51.604	0.5	51604	untrained	32686	81	memtrain/o_655_2.jpg	photodiode	1
52.405	0.5	52405	trained	32747	20	memtrain/o_290_1.jpg	photodiode	1
53.355	0.5	53355	catch	32671	n/a	catch_padded.jpg	photodiode	0
53.754	0.0	53754	response	7	n/a	n/a	trigger	0
55.357	0.5	55357	trained	32759	8	memtrain/o_094_1.jpg	photodiode	1
56.108	0.5	56108	untrained	32699	68	memtrain/o_393_1.jpg	photodiode	1
56.958	0.5	56958	untrained	32682	85	memtrain/o_218_1.jpg	photodiode	1
57.759	0.5	57759	catch	32671	n/a	catch_padded.jpg	photodiode	0
58.169	0.0	58169	response	7	n/a	n/a	trigger	0
59.661	0.5	59661	trained	32742	25	memtrain/o_358_2.jpg	photodiode	1
60.503	0.5	60503	trained	32739	28	memtrain/o_397_1.jpg	photodiode	1
61.254	0.5	61254	untrained	32714	53	memtrain/o_142_2.jpg	photodiode	1
62.163	0.5	62163	trained	32743	24	memtrain/o_357_1.jpg	photodiode	1
62.905	0.5	62905	catch	32671	n/a	catch_padded.jpg	photodiode	0
63.262	0.0	63262	response	7	n/a	n/a	trigger	0
64.907	0.5	64907	untrained	32674	93	memtrain/so_035_1.jpg	photodiode	1
65.708	0.5	65708	untrained	32709	58	memtrain/o_192_1.jpg	photodiode	1
66.508	0.5	66508	trained	32730	37	memtrain/o_597_1.jpg	photodiode	1
67.259	0.5	67259	untrained	32715	52	memtrain/o_141_1.jpg	photodiode	1
68.16	0.5	68160	catch	32671	n/a	catch_padded.jpg	photodiode	0
68.506	0.0	68506	response	7	n/a	n/a	trigger	0
70.162	0.5	70162	trained	32728	39	memtrain/o_606_1.jpg	photodiode	1
70.962	0.5	70962	trained	32753	14	memtrain/o_174_1.jpg	photodiode	1
71.763	0.5	71763	trained	32751	16	memtrain/o_199_2.jpg	photodiode	1
72.614	0.5	72614	trained	32722	45	memtrain/so_090_2.jpg	photodiode	1
