onset	duration	sample	trial_type	value	object_id	stimulus_id	onset_source	analysis_include
23.439	0.0	23439	response	7	n/a	n/a	trigger	0
23.468	0.0	23468	block_onset	101	n/a	n/a	trigger	0
25.524	0.5	25524	trained	32752	15	memtrain/o_195_1.jpg	photodiode	1
26.325	0.5	26325	untrained	32681	86	memtrain/o_288_1.jpg	photodiode	1
27.218	0.5	27218	trained	32727	40	memtrain/o_648_2.jpg	photodiode	1
28.169	0.5	28169	trained	32763	4	memtrain/o_042_1.jpg	photodiode	1
29.027	0.5	29027	catch	32671	n/a	catch_padded.jpg	photodiode	0
29.398	0.0	29398	response	7	n/a	n/a	trigger	0
31.029	0.5	31029	trained	32732	35	memtrain/o_561_2.jpg	photodiode	1
31.922	0.5	31922	untrained	32680	87	memtrain/o_365_1.jpg	photodiode	1
32.723	0.5	32723	trained	32739	28	memtrain/o_397_1.jpg	photodiode	1
33.673	0.5	33673	catch	32671	n/a	catch_padded.jpg	photodiode	0
34.037	0.0	34037	response	7	n/a	n/a	trigger	0
35.725	0.5	35725	untrained	32676	91	memtrain/o_605_1.jpg	photodiode	1
36.576	0.5	36576	trained	32721	46	memtrain/so_113_1.jpg	photodiode	1
37.327	0.5	37327	trained	32756	11	memtrain/o_117_2.jpg	photodiode	1
38.077	0.5	38077	untrained	32707	60	memtrain/o_228_2.jpg	photodiode	1
38.878	0.5	38878	catch	32671	n/a	catch_padded.jpg	photodiode	0
39.235	0.0	39235	response	7	n/a	n/a	trigger	0
40.829	0.5	40829	trained	32743	24	memtrain/o_357_1.jpg	photodiode	1
41.78	0.5	41780	untrained	32672	95	memtrain/so_125_1.jpg	photodiode	1
42.681	0.5	42681	untrained	32706	61	memtrain/o_298_2.jpg	photodiode	1
43.532	0.5	43532	trained	32747	20	memtrain/o_290_1.jpg	photodiode	1
44.433	0.5	44433	catch	32671	n/a	catch_padded.jpg	photodiode	0
44.771	0.0	44771	response	7	n/a	n/a	trigger	0
46.334	0.5	46334	trained	32741	26	memtrain/o_376_1.jpg	photodiode	1
47.135	0.5	47135	untrained	32683	84	memtrain/so_117_2.jpg	photodiode	1
47.885	0.5	47885	trained	32726	41	memtrain/o_663_2.jpg	photodiode	1
48.636	0.5	48636	trained	32767	0	memtrain/o_006_1.jpg	photodiode	1
49.537	0.5	49537	catch	32671	n/a	catch_padded.jpg	photodiode	0
49.869	0.0	49869	response	7	n/a	n/a	trigger	0
51.539	0.5	51539	trained	32760	7	memtrain/o_091_2.jpg	photodiode	1
52.281	0.5	52281	trained	32735	32	memtrain/o_485_2.jpg	photodiode	1
53.031	0.5	53031	untrained	32677	90	memtrain/o_580_1.jpg	photodiode	1
53.882	0.5	53882	catch	32671	n/a	catch_padded.jpg	photodiode	0
54.26	0.0	54260	response	7	n/a	n/a	trigger	0
55.884	0.5	55884	trained	32740	27	memtrain/o_379_2.jpg	photodiode	1
56.784	0.5	56784	untrained	32705	62	memtrain/o_304_1.jpg	photodiode	1
57.735	0.5	57735	trained	32750	17	memtrain/o_232_1.jpg	photodiode	1
58.686	0.5	58686	trained	32758	9	memtrain/o_101_2.jpg	photodiode	1
59.637	0.5	59637	catch	32671	n/a	catch_padded.jpg	photodiode	0
59.921	0.0	59921	response	7	n/a	n/a	trigger	0
61.638	0.5	61638	untrained	32716	51	memtrain/o_103_2.jpg	photodiode	1
62.389	0.5	62389	trained	32737	30	memtrain/o_437_2.jpg	photodiode	1
63.34	0.5	63340	untrained	32714	53	memtrain/o_142_2.jpg	photodiode	1
64.191	0.5	64191	catch	32671	n/a	catch_padded.jpg	photodiode	0
64.578	0.0	64578	response	7	n/a	n/a	trigger	0
66.142	0.5	66142	untrained	32715	52	memtrain/o_141_1.jpg	photodiode	1
66.943	0.5	66943	untrained	32693	74	memtrain/o_550_1.jpg	photodiode	1
67.894	0.5	67894	untrained	32718	49	memtrain/o_054_2.jpg	photodiode	1
68.845	0.5	68845	untrained	32695	72	memtrain/o_490_1.jpg	photodiode	1
69.795	0.5	69795	trained	32751	16	memtrain/o_199_2.jpg	photodiode	1
70.546	0.5	70546	catch	32671	n/a	catch_padded.jpg	photodiode	0
70.907	0.0	70907	response	7	n/a	n/a	trigger	0
72.498	0.5	72498	untrained	32682	85	memtrain/o_218_1.jpg	photodiode	1
73.248	0.5	73248	trained	32765	2	memtrain/o_035_1.jpg	photodiode	1
74.049	0.5	74049	trained	32745	22	memtrain/o_321_1.jpg	photodiode	1
75.0	0.5	75000	catch	32671	n/a	catch_padded.jpg	photodiode	0
75.376	0.0	75376	response	7	n/a	n/a	trigger	0
77.052	0.5	77052	trained	32759	8	memtrain/o_094_1.jpg	photodiode	1
77.794	0.5	77794	untrained	32696	71	memtrain/o_483_1.jpg	photodiode	1
78.695	0.5	78695	trained	32730	37	memtrain/o_597_1.jpg	photodiode	1
79.446	0.5	79446	untrained	32700	67	memtrain/o_378_1.jpg	photodiode	1
80.296	0.5	80296	catch	32671	n/a	catch_padded.jpg	photodiode	0
80.653	0.0	80653	response	7	n/a	n/a	trigger	0
82.248	0.5	82248	trained	32734	33	memtrain/o_536_1.jpg	photodiode	1
82.999	0.5	82999	untrained	32701	66	memtrain/o_342_2.jpg	photodiode	1
83.899	0.5	83899	untrained	32710	57	memtrain/o_171_1.jpg	photodiode	1
84.8	0.5	84800	untrained	32687	80	memtrain/o_613_1.jpg	photodiode	1
85.609	0.5	85609	catch	32671	n/a	catch_padded.jpg	photodiode	0
85.959	0.0	85959	response	7	n/a	n/a	trigger	0
87.502	0.5	87502	trained	32761	6	memtrain/o_076_1.jpg	photodiode	1
88.303	0.5	88303	trained	32738	29	memtrain/o_416_1.jpg	photodiode	1
89.054	0.5	89054	untrained	32679	88	memtrain/o_458_1.jpg	photodiode	1
89.904	0.5	89904	trained	32749	18	memtrain/o_264_2.jpg	photodiode	1
90.755	0.5	90755	untrained	32702	65	memtrain/o_337_2.jpg	photodiode	1
91.506	0.5	91506	catch	32671	n/a	catch_padded.jpg	photodiode	0
91.836	0.0	91836	response	7	n/a	n/a	trigger	0
93.457	0.5	93457	trained	32766	1	memtrain/o_015_1.jpg	photodiode	1
94.308	0.5	94308	untrained	32684	83	memtrain/so_105_1.jpg	photodiode	1
95.209	0.5	95209	untrained	32697	70	memtrain/o_471_2.jpg	photodiode	1
96.16	0.5	96160	untrained	32692	75	memtrain/o_564_1.jpg	photodiode	1
97.111	0.5	97111	untrained	32709	58	memtrain/o_192_1.jpg	photodiode	1
97.911	0.5	97911	catch	32671	n/a	catch_padded.jpg	photodiode	0
98.256	0.0	98256	response	7	n/a	n/a	trigger	0
99.863	0.5	99863	untrained	32698	69	memtrain/o_464_2.jpg	photodiode	1
100.814	0.5	100814	trained	32755	12	memtrain/o_127_2.jpg	photodiode	1
101.765	0.5	101765	trained	32753	14	memtrain/o_174_1.jpg	photodiode	1
102.615	0.5	102615	untrained	32713	54	memtrain/o_145_1.jpg	photodiode	1
103.516	0.5	103516	catch	32671	n/a	catch_padded.jpg	photodiode	0
103.81	0.0	103810	response	7	n/a	n/a	trigger	0
105.568	0.5	105568	untrained	32708	59	memtrain/o_201_2.jpg	photodiode	1
106.418	0.5	106418	untrained	32688	79	memtrain/o_600_1.jpg	photodiode	1
107.16	0.5	107160	untrained	32674	93	memtrain/so_035_1.jpg	photodiode	1
107.961	0.5	107961	untrained	32691	76	memtrain/o_570_1.jpg	photodiode	1
108.712	0.5	108712	untrained	32704	63	memtrain/o_310_2.jpg	photodiode	1
109.571	0.5	109571	catch	32671	n/a	catch_padded.jpg	photodiode	0
109.979	0.0	109979	response	7	n/a	n/a	trigger	0
111.664	0.5	111664	trained	32754	13	memtrain/o_136_1.jpg	photodiode	1
112.474	0.5	112474	trained	32729	38	memtrain/o_603_1.jpg	photodiode	1
113.266	0.5	113266	untrained	32678	89	memtrain/o_469_1.jpg	photodiode	1
114.016	0.5	114016	catch	32671	n/a	catch_padded.jpg	photodiode	0
114.343	0.0	114343	response	7	n/a	n/a	trigger	0
116.018	0.5	116018	untrained	32703	64	memtrain/o_334_2.jpg	photodiode	1
116.869	0.5	116869	trained	32762	5	memtrain/o_067_1.jpg	photodiode	1
117.769	0.5	117769	trained	32725	42	memtrain/so_034_2.jpg	photodiode	1
118.67	0.5	118670	untrained	32686	81	memtrain/o_655_2.jpg	photodiode	1
119.521	0.5	119521	catch	32671	n/a	catch_padded.jpg	photodiode	0
119.839	0.0	119839	response	7	n/a	n/a	trigger	0
121.523	0.5	121523	untrained	32690	77	memtrain/o_574_2.jpg	photodiode	1
122.373	0.5	122373	trained	32720	47	memtrain/so_147_2.jpg	photodiode	1
123.324	0.5	123324	trained	32733	34	memtrain/o_558_2.jpg	photodiode	1
124.125	0.5	124125	catch	32671	n/a	catch_padded.jpg	photodiode	0
124.454	0.0	124454	response	7	n/a	n/a	trigger	0
126.126	0.5	126126	untrained	32699	68	memtrain/o_393_1.jpg	photodiode	1
126.977	0.5	126977	trained	32728	39	memtrain/o_606_1.jpg	photodiode	1
127.728	0.5	127728	trained	32731	36	memtrain/o_583_1.jpg	photodiode	1
128.478	0.5	128478	untrained	32712	55	memtrain/o_153_2.jpg	photodiode	1
129.329	0.5	129329	catch	32671	n/a	catch_padded.jpg	photodiode	0
129.643	0.0	129643	response	7	n/a	n/a	trigger	0
131.381	0.5	131381	trained	32746	21	memtrain/o_319_1.jpg	photodiode	1
132.232	0.5	132232	trained	32764	3	memtrain/o_040_2.jpg	photodiode	1
132.982	0.5	132982	trained	32744	23	memtrain/o_338_2.jpg	photodiode	1
133.783	0.5	133783	trained	32757	10	memtrain/o_111_2.jpg	photodiode	1
134.684	0.5	134684	catch	32671	n/a	catch_padded.jpg	photodiode	0
135.001	0.0	135001	response	7	n/a	n/a	trigger	0
136.778	0.5	136778	untrained	32689	78	memtrain/o_599_1.jpg	photodiode	1
137.578	0.5	137578	trained	32723	44	memtrain/so_045_1.jpg	photodiode	1
138.429	0.5	138429	trained	32742	25	memtrain/o_358_2.jpg	photodiode	1
139.38	0.5	139380	trained	32748	19	memtrain/o_284_2.jpg	photodiode	1
140.18	0.5	140180	catch	32671	n/a	catch_padded.jpg	photodiode	0
140.481	0.0	140481	response	7	n/a	n/a	trigger	0
142.282	0.5	142282	untrained	32719	48	memtrain/o_019_2.jpg	photodiode	1
143.183	0.5	143183	untrained	32711	56	memtrain/o_163_2.jpg	photodiode	1
