onset	duration	sample	trial_type	value	object_id	stimulus_id	onset_source	analysis_include
23.348	0.0	23348	response	6	n/a	n/a	trigger	0
23.358	0.0	23358	block_onset	101	n/a	n/a	trigger	0
25.412	0.5	25412	trained	32745	22	memtrain/o_321_1.jpg	photodiode	1
26.263	0.5	26263	trained	32741	26	memtrain/o_376_1.jpg	photodiode	1
27.122	0.5	27122	trained	32766	1	memtrain/o_015_1.jpg	photodiode	1
28.064	0.5	28064	trained	32767	0	memtrain/o_006_1.jpg	photodiode	1
28.815	0.5	28815	catch	32671	n/a	catch_padded.jpg	photodiode	0
29.167	0.0	29167	response	6	n/a	n/a	trigger	0
30.767	0.5	30767	untrained	32691	76	memtrain/o_570_1.jpg	photodiode	1
31.718	0.5	31718	untrained	32713	54	memtrain/o_145_1.jpg	photodiode	1
32.468	0.5	32468	untrained	32673	94	memtrain/so_067_1.jpg	photodiode	1
33.411	0.5	33411	catch	32671	n/a	catch_padded.jpg	photodiode	0
33.731	0.0	33731	response	6	n/a	n/a	trigger	0
35.313	0.5	35313	trained	32726	41	memtrain/o_663_2.jpg	photodiode	1
36.263	0.5	36263	trained	32729	38	memtrain/o_603_1.jpg	photodiode	1
37.114	0.5	37114	trained	32736	31	memtrain/o_465_2.jpg	photodiode	1
37.915	0.5	37915	catch	32671	n/a	catch_padded.jpg	photodiode	0
38.246	0.0	38246	response	6	n/a	n/a	trigger	0
39.917	0.5	39917	untrained	32717	50	memtrain/o_057_2.jpg	photodiode	1
40.817	0.5	40817	trained	32739	28	memtrain/o_397_1.jpg	photodiode	1
41.668	0.5	41668	trained	32743	24	memtrain/o_357_1.jpg	photodiode	1
42.469	0.5	42469	trained	32760	7	memtrain/o_091_2.jpg	photodiode	1
43.369	0.5	43369	trained	32724	43	memtrain/so_043_2.jpg	photodiode	1
43.568	0.0	43568	response	6	n/a	n/a	trigger	0
44.128	0.5	44128	catch	32671	n/a	catch_padded.jpg	photodiode	0
46.172	0.5	46172	trained	32738	29	memtrain/o_416_1.jpg	photodiode	1
46.973	0.5	46973	untrained	32705	62	memtrain/o_304_1.jpg	photodiode	1
47.873	0.5	47873	untrained	32710	57	memtrain/o_171_1.jpg	photodiode	1
48.624	0.5	48624	trained	32732	35	memtrain/o_561_2.jpg	photodiode	1
49.375	0.5	49375	catch	32671	n/a	catch_padded.jpg	photodiode	0
49.722	0.0	49722	response	6	n/a	n/a	trigger	0
51.426	0.5	51426	trained	32730	37	memtrain/o_597_1.jpg	photodiode	1
52.377	0.5	52377	untrained	32712	55	memtrain/o_153_2.jpg	photodiode	1
53.228	0.5	53228	trained	32750	17	memtrain/o_232_1.jpg	photodiode	1
54.079	0.5	54079	catch	32671	n/a	catch_padded.jpg	photodiode	0
54.51	0.0	54510	response	6	n/a	n/a	trigger	0
56.13	0.5	56130	trained	32720	47	memtrain/so_147_2.jpg	photodiode	1
56.981	0.5	56981	untrained	32692	75	memtrain/o_564_1.jpg	photodiode	1
57.882	0.5	57882	untrained	32674	93	memtrain/so_035_1.jpg	photodiode	1
58.682	0.5	58682	trained	32740	27	memtrain/o_379_2.jpg	photodiode	1
59.433	0.5	59433	catch	32671	n/a	catch_padded.jpg	photodiode	0
59.726	0.0	59726	response	6	n/a	n/a	trigger	0
61.435	0.5	61435	trained	32746	21	memtrain/o_319_1.jpg	photodiode	1
62.285	0.5	62285	untrained	32700	67	memtrain/o_378_1.jpg	photodiode	1
63.228	0.5	63228	trained	32752	15	memtrain/o_195_1.jpg	photodiode	1
64.128	0.5	64128	untrained	32708	59	memtrain/o_201_2.jpg	photodiode	1
65.079	0.5	65079	untrained	32679	88	memtrain/o_458_1.jpg	photodiode	1
65.291	0.0	65291	response	6	n/a	n/a	trigger	0
65.93	0.5	65930	catch	32671	n/a	catch_padded.jpg	photodiode	0
67.982	0.5	67982	trained	32749	18	memtrain/o_264_2.jpg	photodiode	1
68.882	0.5	68882	untrained	32697	70	memtrain/o_471_2.jpg	photodiode	1
69.833	0.5	69833	untrained	32676	91	memtrain/o_605_1.jpg	photodiode	1
70.634	0.5	70634	catch	32671	n/a	catch_padded.jpg	photodiode	0
71.156	0.0	71156	response	6	n/a	n/a	trigger	0
72.535	0.5	72535	trained	32761	6	memtrain/o_076_1.jpg	photodiode	1
73.336	0.5	73336	untrained	32695	72	memtrain/o_490_1.jpg	photodiode	1
74.137	0.5	74137	untrained	32719	48	memtrain/o_019_2.jpg	photodiode	1
74.938	0.5	74938	trained	32765	2	memtrain/o_035_1.jpg	photodiode	1
75.788	0.5	75788	catch	32671	n/a	catch_padded.jpg	photodiode	0
75.996	0.0	75996	response	6	n/a	n/a	trigger	0
77.79	0.5	77790	untrained	32696	71	memtrain/o_483_1.jpg	photodiode	1
78.741	0.5	78741	untrained	32699	68	memtrain/o_393_1.jpg	photodiode	1
79.541	0.5	79541	trained	32755	12	memtrain/o_127_2.jpg	photodiode	1
80.492	0.5	80492	untrained	32709	58	memtrain/o_192_1.jpg	photodiode	1
81.443	0.5	81443	catch	32671	n/a	catch_padded.jpg	photodiode	0
81.642	0.0	81642	response	6	n/a	n/a	trigger	0
