onset	duration	sample	trial_type	value	object_id	stimulus_id	onset_source	analysis_include
56.604	0.0	56604	response	6	n/a	n/a	trigger	0
56.61	0.0	56610	block_onset	101	n/a	n/a	trigger	0
58.664	0.5	58664	trained	32766	1	memtrain/o_015_1.jpg	photodiode	1
59.415	0.5	59415	untrained	32714	53	memtrain/o_142_2.jpg	photodiode	1
60.315	0.5	60315	trained	32732	35	memtrain/o_561_2.jpg	photodiode	1
61.166	0.5	61166	untrained	32680	87	memtrain/o_365_1.jpg	photodiode	1
61.967	0.5	61967	catch	32671	n/a	catch_padded.jpg	photodiode	0
62.308	0.0	62308	response	6	n/a	n/a	trigger	0
64.068	0.5	64068	trained	32745	22	memtrain/o_321_1.jpg	photodiode	1
64.869	0.5	64869	trained	32767	0	memtrain/o_006_1.jpg	photodiode	1
65.762	0.5	65762	trained	32734	33	memtrain/o_536_1.jpg	photodiode	1
66.662	0.5	66662	untrained	32674	93	memtrain/so_035_1.jpg	photodiode	1
67.513	0.5	67513	catch	32671	n/a	catch_padded.jpg	photodiode	0
67.837	0.0	67837	response	6	n/a	n/a	trigger	0
69.415	0.5	69415	trained	32724	43	memtrain/so_043_2.jpg	photodiode	1
70.265	0.5	70265	untrained	32689	78	memtrain/o_599_1.jpg	photodiode	1
71.166	0.5	71166	trained	32748	19	memtrain/o_284_2.jpg	photodiode	1
71.917	0.5	71917	untrained	32705	62	memtrain/o_304_1.jpg	photodiode	1
72.768	0.5	72768	untrained	32711	56	memtrain/o_163_2.jpg	photodiode	1
73.718	0.5	73718	catch	32671	n/a	catch_padded.jpg	photodiode	0
74.076	0.0	74076	response	6	n/a	n/a	trigger	0
75.77	0.5	75770	trained	32751	16	memtrain/o_199_2.jpg	photodiode	1
76.621	0.5	76621	untrained	32706	61	memtrain/o_298_2.jpg	photodiode	1
77.472	0.5	77472	trained	32738	29	memtrain/o_416_1.jpg	photodiode	1
78.372	0.5	78372	untrained	32684	83	memtrain/so_105_1.jpg	photodiode	1
79.173	0.5	79173	catch	32671	n/a	catch_padded.jpg	photodiode	0
79.483	0.0	79483	response	6	n/a	n/a	trigger	0
81.125	0.5	81125	untrained	32712	55	memtrain/o_153_2.jpg	photodiode	1
81.925	0.5	81925	trained	32728	39	memtrain/o_606_1.jpg	photodiode	1
82.776	0.5	82776	untrained	32716	51	memtrain/o_103_2.jpg	photodiode	1
83.577	0.5	83577	catch	32671	n/a	catch_padded.jpg	photodiode	0
83.919	0.0	83919	response	6	n/a	n/a	trigger	0
85.478	0.5	85478	untrained	32685	82	memtrain/o_656_1.jpg	photodiode	1
86.279	0.5	86279	trained	32757	10	memtrain/o_111_2.jpg	photodiode	1
87.03	0.5	87030	untrained	32676	91	memtrain/o_605_1.jpg	photodiode	1
87.83	0.5	87830	untrained	32692	75	memtrain/o_564_1.jpg	photodiode	1
