onset	duration	sample	trial_type	value	object_id	stimulus_id	onset_source	analysis_include
25.938	0.0	25938	response	7	n/a	n/a	trigger	0
25.948	0.0	25948	block_onset	101	n/a	n/a	trigger	0
28.003	0.5	28003	untrained	32716	51	memtrain/o_103_2.jpg	photodiode	1
28.754	0.5	28754	trained	32746	21	memtrain/o_319_1.jpg	photodiode	1
29.655	0.5	29655	untrained	32697	70	memtrain/o_471_2.jpg	photodiode	1
30.456	0.5	30456	trained	32732	35	memtrain/o_561_2.jpg	photodiode	1
31.206	0.5	31206	catch	32671	n/a	catch_padded.jpg	photodiode	0
31.528	0.0	31528	response	7	n/a	n/a	trigger	0
33.208	0.5	33208	trained	32753	14	memtrain/o_174_1.jpg	photodiode	1
33.95	0.5	33950	trained	32727	40	memtrain/o_648_2.jpg	photodiode	1
34.759	0.5	34759	untrained	32693	74	memtrain/o_550_1.jpg	photodiode	1
35.61	0.5	35610	trained	32749	18	memtrain/o_264_2.jpg	photodiode	1
36.361	0.5	36361	catch	32671	n/a	catch_padded.jpg	photodiode	0
36.646	0.0	36646	response	7	n/a	n/a	trigger	0
38.304	0.5	38304	trained	32765	2	memtrain/o_035_1.jpg	photodiode	1
39.055	0.5	39055	untrained	32678	89	memtrain/o_469_1.jpg	photodiode	1
39.855	0.5	39855	trained	32756	11	memtrain/o_117_2.jpg	photodiode	1
40.706	0.5	40706	trained	32763	4	memtrain/o_042_1.jpg	photodiode	1
41.557	0.5	41557	catch	32671	n/a	catch_padded.jpg	photodiode	0
41.839	0.0	41839	response	7	n/a	n/a	trigger	0
43.508	0.5	43508	trained	32755	12	memtrain/o_127_2.jpg	photodiode	1
44.359	0.5	44359	trained	32764	3	memtrain/o_040_2.jpg	photodiode	1
45.31	0.5	45310	trained	32758	9	memtrain/o_101_2.jpg	photodiode	1
46.261	0.5	46261	catch	32671	n/a	catch_padded.jpg	photodiode	0
46.648	0.0	46648	response	7	n/a	n/a	trigger	0
48.212	0.5	48212	trained	32739	28	memtrain/o_397_1.jpg	photodiode	1
49.113	0.5	49113	trained	32729	38	memtrain/o_603_1.jpg	photodiode	1
50.064	0.5	50064	untrained	32709	58	memtrain/o_192_1.jpg	photodiode	1
50.865	0.5	50865	untrained	32692	75	memtrain/o_564_1.jpg	photodiode	1
51.765	0.5	51765	untrained	32718	49	memtrain/o_054_2.jpg	photodiode	1
52.516	0.5	52516	catch	32671	n/a	catch_padded.jpg	photodiode	0
52.911	0.0	52911	response	7	n/a	n/a	trigger	0
54.618	0.5	54618	untrained	32691	76	memtrain/o_570_1.jpg	photodiode	1
55.368	0.5	55368	untrained	32714	53	memtrain/o_142_2.jpg	photodiode	1
56.119	0.5	56119	untrained	32710	57	memtrain/o_171_1.jpg	photodiode	1
