onset	duration	sample	trial_type	value	object_id	stimulus_id	onset_source	analysis_include
26.564	0.0	26564	response	6	n/a	n/a	trigger	0
26.572	0.0	26572	block_onset	101	n/a	n/a	trigger	0
28.626	0.5	28626	trained	32752	15	memtrain/o_195_1.jpg	photodiode	1
29.427	0.5	29427	untrained	32681	86	memtrain/o_288_1.jpg	photodiode	1
30.328	0.5	30328	trained	32727	40	memtrain/o_648_2.jpg	photodiode	1
31.279	0.5	31279	trained	32763	4	memtrain/o_042_1.jpg	photodiode	1
32.129	0.5	32129	catch	32671	n/a	catch_padded.jpg	photodiode	0
32.432	0.0	32432	response	6	n/a	n/a	trigger	0
34.131	0.5	34131	trained	32732	35	memtrain/o_561_2.jpg	photodiode	1
35.032	0.5	35032	untrained	32680	87	memtrain/o_365_1.jpg	photodiode	1
35.824	0.5	35824	trained	32739	28	memtrain/o_397_1.jpg	photodiode	1
36.775	0.5	36775	catch	32671	n/a	catch_padded.jpg	photodiode	0
37.112	0.0	37112	response	6	n/a	n/a	trigger	0
38.835	0.5	38835	untrained	32676	91	memtrain/o_605_1.jpg	photodiode	1
39.677	0.5	39677	trained	32721	46	memtrain/so_113_1.jpg	photodiode	1
40.428	0.5	40428	trained	32756	11	memtrain/o_117_2.jpg	photodiode	1
41.179	0.5	41179	untrained	32707	60	memtrain/o_228_2.jpg	photodiode	1
41.979	0.5	41979	catch	32671	n/a	catch_padded.jpg	photodiode	0
42.253	0.0	42253	response	6	n/a	n/a	trigger	0
43.931	0.5	43931	trained	32743	24	memtrain/o_357_1.jpg	photodiode	1
44.882	0.5	44882	untrained	32672	95	memtrain/so_125_1.jpg	photodiode	1
45.782	0.5	45782	untrained	32706	61	memtrain/o_298_2.jpg	photodiode	1
46.633	0.5	46633	trained	32747	20	memtrain/o_290_1.jpg	photodiode	1
47.534	0.5	47534	catch	32671	n/a	catch_padded.jpg	photodiode	0
47.838	0.0	47838	response	6	n/a	n/a	trigger	0
49.436	0.5	49436	trained	32741	26	memtrain/o_376_1.jpg	photodiode	1
50.236	0.5	50236	untrained	32683	84	memtrain/so_117_2.jpg	photodiode	1
50.987	0.5	50987	trained	32726	41	memtrain/o_663_2.jpg	photodiode	1
51.737	0.5	51737	trained	32767	0	memtrain/o_006_1.jpg	photodiode	1
52.638	0.5	52638	catch	32671	n/a	catch_padded.jpg	photodiode	0
52.939	0.0	52939	response	6	n/a	n/a	trigger	0
54.64	0.5	54640	trained	32760	7	memtrain/o_091_2.jpg	photodiode	1
55.391	0.5	55391	trained	32735	32	memtrain/o_485_2.jpg	photodiode	1
56.141	0.5	56141	untrained	32677	90	memtrain/o_580_1.jpg	photodiode	1
56.992	0.5	56992	catch	32671	n/a	catch_padded.jpg	photodiode	0
57.286	0.0	57286	response	6	n/a	n/a	trigger	0
58.994	0.5	58994	trained	32740	27	memtrain/o_379_2.jpg	photodiode	1
59.894	0.5	59894	untrained	32705	62	memtrain/o_304_1.jpg	photodiode	1
60.845	0.5	60845	trained	32750	17	memtrain/o_232_1.jpg	photodiode	1
61.796	0.5	61796	trained	32758	9	memtrain/o_101_2.jpg	photodiode	1
62.747	0.5	62747	catch	32671	n/a	catch_padded.jpg	photodiode	0
63.116	0.0	63116	response	6	n/a	n/a	trigger	0
64.74	0.5	64740	untrained	32716	51	memtrain/o_103_2.jpg	photodiode	1
65.491	0.5	65491	trained	32737	30	memtrain/o_437_2.jpg	photodiode	1
66.442	0.5	66442	untrained	32714	53	memtrain/o_142_2.jpg	photodiode	1
67.292	0.5	67292	catch	32671	n/a	catch_padded.jpg	photodiode	0
67.686	0.0	67686	response	6	n/a	n/a	trigger	0
69.244	0.5	69244	untrained	32715	52	memtrain/o_141_1.jpg	photodiode	1
70.045	0.5	70045	untrained	32693	74	memtrain/o_550_1.jpg	photodiode	1
70.996	0.5	70996	untrained	32718	49	memtrain/o_054_2.jpg	photodiode	1
71.946	0.5	71946	untrained	32695	72	memtrain/o_490_1.jpg	photodiode	1
72.897	0.5	72897	trained	32751	16	memtrain/o_199_2.jpg	photodiode	1
73.648	0.5	73648	catch	32671	n/a	catch_padded.jpg	photodiode	0
74.039	0.0	74039	response	6	n/a	n/a	trigger	0
75.599	0.5	75599	untrained	32682	85	memtrain/o_218_1.jpg	photodiode	1
76.35	0.5	76350	trained	32765	2	memtrain/o_035_1.jpg	photodiode	1
77.151	0.5	77151	trained	32745	22	memtrain/o_321_1.jpg	photodiode	1
78.102	0.5	78102	catch	32671	n/a	catch_padded.jpg	photodiode	0
78.474	0.0	78474	response	6	n/a	n/a	trigger	0
80.153	0.5	80153	trained	32759	8	memtrain/o_094_1.jpg	photodiode	1
80.904	0.5	80904	untrained	32696	71	memtrain/o_483_1.jpg	photodiode	1
81.805	0.5	81805	trained	32730	37	memtrain/o_597_1.jpg	photodiode	1
82.555	0.5	82555	untrained	32700	67	memtrain/o_378_1.jpg	photodiode	1
83.406	0.5	83406	catch	32671	n/a	catch_padded.jpg	photodiode	0
83.712	0.0	83712	response	6	n/a	n/a	trigger	0
85.358	0.5	85358	trained	32734	33	memtrain/o_536_1.jpg	photodiode	1
86.108	0.5	86108	untrained	32701	66	memtrain/o_342_2.jpg	photodiode	1
87.009	0.5	87009	untrained	32710	57	memtrain/o_171_1.jpg	photodiode	1
87.91	0.5	87910	untrained	32687	80	memtrain/o_613_1.jpg	photodiode	1
88.711	0.5	88711	catch	32671	n/a	catch_padded.jpg	photodiode	0
89.027	0.0	89027	response	6	n/a	n/a	trigger	0
90.612	0.5	90612	trained	32761	6	memtrain/o_076_1.jpg	photodiode	1
91.413	0.5	91413	trained	32738	29	memtrain/o_416_1.jpg	photodiode	1
92.155	0.5	92155	untrained	32679	88	memtrain/o_458_1.jpg	photodiode	1
93.006	0.5	93006	trained	32749	18	memtrain/o_264_2.jpg	photodiode	1
93.865	0.5	93865	untrained	32702	65	memtrain/o_337_2.jpg	photodiode	1
94.607	0.5	94607	catch	32671	n/a	catch_padded.jpg	photodiode	0
94.97	0.0	94970	response	6	n/a	n/a	trigger	0
96.559	0.5	96559	trained	32766	1	memtrain/o_015_1.jpg	photodiode	1
97.41	0.5	97410	untrained	32684	83	memtrain/so_105_1.jpg	photodiode	1
98.31	0.5	98310	untrained	32697	70	memtrain/o_471_2.jpg	photodiode	1
99.261	0.5	99261	untrained	32692	75	memtrain/o_564_1.jpg	photodiode	1
100.212	0.5	100212	untrained	32709	58	memtrain/o_192_1.jpg	photodiode	1
101.013	0.5	101013	catch	32671	n/a	catch_padded.jpg	photodiode	0
101.318	0.0	101318	response	6	n/a	n/a	trigger	0
102.964	0.5	102964	untrained	32698	69	memtrain/o_464_2.jpg	photodiode	1
103.915	0.5	103915	trained	32755	12	memtrain/o_127_2.jpg	photodiode	1
104.866	0.5	104866	trained	32753	14	memtrain/o_174_1.jpg	photodiode	1
105.717	0.5	105717	untrained	32713	54	memtrain/o_145_1.jpg	photodiode	1
106.617	0.5	106617	catch	32671	n/a	catch_padded.jpg	photodiode	0
106.938	0.0	106938	response	6	n/a	n/a	trigger	0
