onset	duration	sample	trial_type	value	object_id	stimulus_id	onset_source	analysis_include
25.929	0.0	25929	response	7	n/a	n/a	trigger	0
25.934	0.0	25934	block_onset	101	n/a	n/a	trigger	0
27.989	0.5	27989	trained	32745	22	memtrain/o_321_1.jpg	photodiode	1
28.84	0.5	28840	trained	32741	26	memtrain/o_376_1.jpg	photodiode	1
29.69	0.5	29690	trained	32766	1	memtrain/o_015_1.jpg	photodiode	1
30.641	0.5	30641	trained	32767	0	memtrain/o_006_1.jpg	photodiode	1
31.392	0.5	31392	catch	32671	n/a	catch_padded.jpg	photodiode	0
31.775	0.0	31775	response	7	n/a	n/a	trigger	0
33.343	0.5	33343	untrained	32691	76	memtrain/o_570_1.jpg	photodiode	1
34.286	0.5	34286	untrained	32713	54	memtrain/o_145_1.jpg	photodiode	1
35.037	0.5	35037	untrained	32673	94	memtrain/so_067_1.jpg	photodiode	1
35.987	0.5	35987	catch	32671	n/a	catch_padded.jpg	photodiode	0
36.313	0.0	36313	response	7	n/a	n/a	trigger	0
37.889	0.5	37889	trained	32726	41	memtrain/o_663_2.jpg	photodiode	1
38.84	0.5	38840	trained	32729	38	memtrain/o_603_1.jpg	photodiode	1
39.691	0.5	39691	trained	32736	31	memtrain/o_465_2.jpg	photodiode	1
40.491	0.5	40491	catch	32671	n/a	catch_padded.jpg	photodiode	0
40.71	0.0	40710	response	7	n/a	n/a	trigger	0
42.493	0.5	42493	untrained	32717	50	memtrain/o_057_2.jpg	photodiode	1
43.394	0.5	43394	trained	32739	28	memtrain/o_397_1.jpg	photodiode	1
44.244	0.5	44244	trained	32743	24	memtrain/o_357_1.jpg	photodiode	1
45.045	0.5	45045	trained	32760	7	memtrain/o_091_2.jpg	photodiode	1
45.946	0.5	45946	trained	32724	43	memtrain/so_043_2.jpg	photodiode	1
46.697	0.5	46697	catch	32671	n/a	catch_padded.jpg	photodiode	0
46.991	0.0	46991	response	7	n/a	n/a	trigger	0
48.748	0.5	48748	trained	32738	29	memtrain/o_416_1.jpg	photodiode	1
49.549	0.5	49549	untrained	32705	62	memtrain/o_304_1.jpg	photodiode	1
50.45	0.5	50450	untrained	32710	57	memtrain/o_171_1.jpg	photodiode	1
51.2	0.5	51200	trained	32732	35	memtrain/o_561_2.jpg	photodiode	1
51.951	0.5	51951	catch	32671	n/a	catch_padded.jpg	photodiode	0
52.3	0.0	52300	response	7	n/a	n/a	trigger	0
54.003	0.5	54003	trained	32730	37	memtrain/o_597_1.jpg	photodiode	1
54.954	0.5	54954	untrained	32712	55	memtrain/o_153_2.jpg	photodiode	1
