onset	duration	sample	trial_type	value	object_id	stimulus_id	onset_source	analysis_include
12.442	0.0	12442	response	6	n/a	n/a	trigger	0
29.437	0.0	29437	response	6	n/a	n/a	trigger	0
29.444	0.0	29444	block_onset	101	n/a	n/a	trigger	0
31.503	0.5	31503	trained	32766	1	memtrain/o_015_1.jpg	photodiode	1
32.254	0.5	32254	untrained	32714	53	memtrain/o_142_2.jpg	photodiode	1
33.154	0.5	33154	trained	32732	35	memtrain/o_561_2.jpg	photodiode	1
34.005	0.5	34005	untrained	32680	87	memtrain/o_365_1.jpg	photodiode	1
34.806	0.5	34806	catch	32671	n/a	catch_padded.jpg	photodiode	0
35.206	0.0	35206	response	6	n/a	n/a	trigger	0
36.908	0.5	36908	trained	32745	22	memtrain/o_321_1.jpg	photodiode	1
37.708	0.5	37708	trained	32767	0	memtrain/o_006_1.jpg	photodiode	1
38.609	0.5	38609	trained	32734	33	memtrain/o_536_1.jpg	photodiode	1
39.51	0.5	39510	untrained	32674	93	memtrain/so_035_1.jpg	photodiode	1
40.361	0.5	40361	catch	32671	n/a	catch_padded.jpg	photodiode	0
40.687	0.0	40687	response	6	n/a	n/a	trigger	0
42.254	0.5	42254	trained	32724	43	memtrain/so_043_2.jpg	photodiode	1
43.104	0.5	43104	untrained	32689	78	memtrain/o_599_1.jpg	photodiode	1
44.005	0.5	44005	trained	32748	19	memtrain/o_284_2.jpg	photodiode	1
44.756	0.5	44756	untrained	32705	62	memtrain/o_304_1.jpg	photodiode	1
45.607	0.5	45607	untrained	32711	56	memtrain/o_163_2.jpg	photodiode	1
46.557	0.5	46557	catch	32671	n/a	catch_padded.jpg	photodiode	0
46.846	0.0	46846	response	6	n/a	n/a	trigger	0
48.618	0.5	48618	trained	32751	16	memtrain/o_199_2.jpg	photodiode	1
49.46	0.5	49460	untrained	32706	61	memtrain/o_298_2.jpg	photodiode	1
50.311	0.5	50311	trained	32738	29	memtrain/o_416_1.jpg	photodiode	1
51.211	0.5	51211	untrained	32684	83	memtrain/so_105_1.jpg	photodiode	1
52.012	0.5	52012	catch	32671	n/a	catch_padded.jpg	photodiode	0
52.341	0.0	52341	response	6	n/a	n/a	trigger	0
53.964	0.5	53964	untrained	32712	55	memtrain/o_153_2.jpg	photodiode	1
54.764	0.5	54764	trained	32728	39	memtrain/o_606_1.jpg	photodiode	1
55.615	0.5	55615	untrained	32716	51	memtrain/o_103_2.jpg	photodiode	1
56.416	0.5	56416	catch	32671	n/a	catch_padded.jpg	photodiode	0
56.88	0.0	56880	response	6	n/a	n/a	trigger	0
58.317	0.5	58317	untrained	32685	82	memtrain/o_656_1.jpg	photodiode	1
59.118	0.5	59118	trained	32757	10	memtrain/o_111_2.jpg	photodiode	1
59.869	0.5	59869	untrained	32676	91	memtrain/o_605_1.jpg	photodiode	1
60.669	0.5	60669	untrained	32692	75	memtrain/o_564_1.jpg	photodiode	1
61.47	0.5	61470	catch	32671	n/a	catch_padded.jpg	photodiode	0
61.818	0.0	61818	response	6	n/a	n/a	trigger	0
63.472	0.5	63472	untrained	32709	58	memtrain/o_192_1.jpg	photodiode	1
64.372	0.5	64372	trained	32725	42	memtrain/so_034_2.jpg	photodiode	1
65.223	0.5	65223	trained	32746	21	memtrain/o_319_1.jpg	photodiode	1
66.124	0.5	66124	trained	32744	23	memtrain/o_338_2.jpg	photodiode	1
67.075	0.5	67075	catch	32671	n/a	catch_padded.jpg	photodiode	0
67.404	0.0	67404	response	6	n/a	n/a	trigger	0
69.018	0.5	69018	trained	32736	31	memtrain/o_465_2.jpg	photodiode	1
69.769	0.5	69769	untrained	32696	71	memtrain/o_483_1.jpg	photodiode	1
70.72	0.5	70720	untrained	32698	69	memtrain/o_464_2.jpg	photodiode	1
71.52	0.5	71520	catch	32671	n/a	catch_padded.jpg	photodiode	0
71.898	0.0	71898	response	6	n/a	n/a	trigger	0
73.622	0.5	73622	trained	32753	14	memtrain/o_174_1.jpg	photodiode	1
74.373	0.5	74373	untrained	32697	70	memtrain/o_471_2.jpg	photodiode	1
75.123	0.5	75123	trained	32762	5	memtrain/o_067_1.jpg	photodiode	1
76.074	0.5	76074	catch	32671	n/a	catch_padded.jpg	photodiode	0
76.498	0.0	76498	response	6	n/a	n/a	trigger	0
78.176	0.5	78176	trained	32741	26	memtrain/o_376_1.jpg	photodiode	1
79.027	0.5	79027	untrained	32702	65	memtrain/o_337_2.jpg	photodiode	1
79.877	0.5	79877	untrained	32707	60	memtrain/o_228_2.jpg	photodiode	1
80.678	0.5	80678	untrained	32701	66	memtrain/o_342_2.jpg	photodiode	1
81.579	0.5	81579	untrained	32682	85	memtrain/o_218_1.jpg	photodiode	1
82.379	0.5	82379	catch	32671	n/a	catch_padded.jpg	photodiode	0
82.656	0.0	82656	response	6	n/a	n/a	trigger	0
84.381	0.5	84381	trained	32743	24	memtrain/o_357_1.jpg	photodiode	1
85.332	0.5	85332	trained	32722	45	memtrain/so_090_2.jpg	photodiode	1
86.233	0.5	86233	trained	32733	34	memtrain/o_558_2.jpg	photodiode	1
87.033	0.5	87033	trained	32760	7	memtrain/o_091_2.jpg	photodiode	1
87.884	0.5	87884	untrained	32710	57	memtrain/o_171_1.jpg	photodiode	1
88.635	0.5	88635	catch	32671	n/a	catch_padded.jpg	photodiode	0
88.946	0.0	88946	response	6	n/a	n/a	trigger	0
90.636	0.5	90636	trained	32763	4	memtrain/o_042_1.jpg	photodiode	1
91.537	0.5	91537	untrained	32677	90	memtrain/o_580_1.jpg	photodiode	1
92.388	0.5	92388	untrained	32678	89	memtrain/o_469_1.jpg	photodiode	1
93.289	0.5	93289	trained	32731	36	memtrain/o_583_1.jpg	photodiode	1
94.039	0.5	94039	trained	32749	18	memtrain/o_264_2.jpg	photodiode	1
94.94	0.5	94940	catch	32671	n/a	catch_padded.jpg	photodiode	0
95.281	0.0	95281	response	6	n/a	n/a	trigger	0
96.892	0.5	96892	untrained	32703	64	memtrain/o_334_2.jpg	photodiode	1
97.684	0.5	97684	untrained	32718	49	memtrain/o_054_2.jpg	photodiode	1
98.585	0.5	98585	untrained	32686	81	memtrain/o_655_2.jpg	photodiode	1
99.335	0.5	99335	catch	32671	n/a	catch_padded.jpg	photodiode	0
99.738	0.0	99738	response	6	n/a	n/a	trigger	0
101.237	0.5	101237	untrained	32690	77	memtrain/o_574_2.jpg	photodiode	1
102.138	0.5	102138	untrained	32693	74	memtrain/o_550_1.jpg	photodiode	1
102.938	0.5	102938	trained	32720	47	memtrain/so_147_2.jpg	photodiode	1
103.889	0.5	103889	trained	32740	27	memtrain/o_379_2.jpg	photodiode	1
104.84	0.5	104840	untrained	32687	80	memtrain/o_613_1.jpg	photodiode	1
105.791	0.5	105791	catch	32671	n/a	catch_padded.jpg	photodiode	0
106.03	0.0	106030	response	6	n/a	n/a	trigger	0
107.743	0.5	107743	untrained	32688	79	memtrain/o_600_1.jpg	photodiode	1
108.643	0.5	108643	untrained	32675	92	memtrain/so_033_1.jpg	photodiode	1
109.444	0.5	109444	trained	32726	41	memtrain/o_663_2.jpg	photodiode	1
110.345	0.5	110345	catch	32671	n/a	catch_padded.jpg	photodiode	0
110.756	0.0	110756	response	6	n/a	n/a	trigger	0
112.396	0.5	112396	trained	32730	37	memtrain/o_597_1.jpg	photodiode	1
113.197	0.5	113197	untrained	32683	84	memtrain/so_117_2.jpg	photodiode	1
113.998	0.5	113998	untrained	32715	52	memtrain/o_141_1.jpg	photodiode	1
114.899	0.5	114899	catch	32671	n/a	catch_padded.jpg	photodiode	0
115.255	0.0	115255	response	6	n/a	n/a	trigger	0
117.0	0.5	117000	trained	32742	25	memtrain/o_358_2.jpg	photodiode	1
117.759	0.5	117759	untrained	32672	95	memtrain/so_125_1.jpg	photodiode	1
118.552	0.5	118552	untrained	32708	59	memtrain/o_201_2.jpg	photodiode	1
119.452	0.5	119452	trained	32737	30	memtrain/o_437_2.jpg	photodiode	1
120.303	0.5	120303	catch	32671	n/a	catch_padded.jpg	photodiode	0
120.614	0.0	120614	response	6	n/a	n/a	trigger	0
122.405	0.5	122405	trained	32756	11	memtrain/o_117_2.jpg	photodiode	1
123.256	0.5	123256	trained	32765	2	memtrain/o_035_1.jpg	photodiode	1
124.106	0.5	124106	untrained	32691	76	memtrain/o_570_1.jpg	photodiode	1
124.857	0.5	124857	trained	32750	17	memtrain/o_232_1.jpg	photodiode	1
125.758	0.5	125758	trained	32729	38	memtrain/o_603_1.jpg	photodiode	1
126.55	0.5	126550	catch	32671	n/a	catch_padded.jpg	photodiode	0
126.844	0.0	126844	response	6	n/a	n/a	trigger	0
128.56	0.5	128560	untrained	32699	68	memtrain/o_393_1.jpg	photodiode	1
129.303	0.5	129303	trained	32752	15	memtrain/o_195_1.jpg	photodiode	1
130.153	0.5	130153	trained	32764	3	memtrain/o_040_2.jpg	photodiode	1
131.004	0.5	131004	untrained	32704	63	memtrain/o_310_2.jpg	photodiode	1
131.955	0.5	131955	untrained	32679	88	memtrain/o_458_1.jpg	photodiode	1
132.756	0.5	132756	catch	32671	n/a	catch_padded.jpg	photodiode	0
133.152	0.0	133152	response	6	n/a	n/a	trigger	0
134.657	0.5	134657	untrained	32694	73	memtrain/o_519_2.jpg	photodiode	1
135.458	0.5	135458	trained	32735	32	memtrain/o_485_2.jpg	photodiode	1
136.208	0.5	136208	untrained	32700	67	memtrain/o_378_1.jpg	photodiode	1
137.059	0.5	137059	trained	32755	12	memtrain/o_127_2.jpg	photodiode	1
137.86	0.5	137860	trained	32723	44	memtrain/so_045_1.jpg	photodiode	1
138.661	0.5	138661	catch	32671	n/a	catch_padded.jpg	photodiode	0
138.985	0.0	138985	response	6	n/a	n/a	trigger	0
140.662	0.5	140662	untrained	32681	86	memtrain/o_288_1.jpg	photodiode	1
141.563	0.5	141563	untrained	32673	94	memtrain/so_067_1.jpg	photodiode	1
142.414	0.5	142414	trained	32758	9	memtrain/o_101_2.jpg	photodiode	1
143.365	0.5	143365	catch	32671	n/a	catch_padded.jpg	photodiode	0
143.768	0.0	143768	response	6	n/a	n/a	trigger	0
145.416	0.5	145416	trained	32761	6	memtrain/o_076_1.jpg	photodiode	1
