participant_id	age	sex	education_years
sub-01	24	M	16.0
sub-02	26	M	n/a
sub-03	24	M	17.0
sub-04	24	F	17.0
sub-08	n/a	F	n/a
sub-11	29	F	17.0
sub-13	25	M	16.0
sub-18	25	F	19.0
sub-20	26	F	19.0
sub-21	22	M	16.0
sub-22	26	M	17.0
sub-26	25	M	20.0
sub-29	29	M	21.0
sub-30	28	F	18.0
sub-34	25	F	17.0
sub-35	28	F	17.0
sub-38	23	M	17.0
sub-39	19	M	12.5
sub-49	26	F	19.0
sub-51	32	F	19.0
sub-52	33	F	19.0
sub-53	28	M	20.0
sub-55	28	F	22.0
sub-56	25	F	19.0
sub-57	22	F	16.0
sub-62	25	M	17.0
sub-63	24	F	17.0
sub-65	32	F	25.0
sub-66	23	M	15.0
sub-67	30	F	21.0
sub-69	25	F	n/a
