onset	duration	sample	trial_type	value	object_id	stimulus_id	onset_source	analysis_include
53.383	0.0	53383	response	6	n/a	n/a	trigger	0
53.394	0.0	53394	block_onset	101	n/a	n/a	trigger	0
55.454	0.5	55454	untrained	32680	87	memtrain/o_365_1.jpg	photodiode	1
56.255	0.5	56255	untrained	32710	57	memtrain/o_171_1.jpg	photodiode	1
57.205	0.5	57205	trained	32743	24	memtrain/o_357_1.jpg	photodiode	1
58.056	0.5	58056	catch	32671	n/a	catch_padded.jpg	photodiode	0
58.51	0.0	58510	response	6	n/a	n/a	trigger	0
60.008	0.5	60008	trained	32745	22	memtrain/o_321_1.jpg	photodiode	1
60.959	0.5	60959	trained	32763	4	memtrain/o_042_1.jpg	photodiode	1
61.759	0.5	61759	trained	32728	39	memtrain/o_606_1.jpg	photodiode	1
62.602	0.5	62602	untrained	32678	89	memtrain/o_469_1.jpg	photodiode	1
63.502	0.5	63502	untrained	32697	70	memtrain/o_471_2.jpg	photodiode	1
64.411	0.5	64411	catch	32671	n/a	catch_padded.jpg	photodiode	0
64.818	0.0	64818	response	6	n/a	n/a	trigger	0
66.355	0.5	66355	trained	32734	33	memtrain/o_536_1.jpg	photodiode	1
67.105	0.5	67105	trained	32738	29	memtrain/o_416_1.jpg	photodiode	1
67.856	0.5	67856	untrained	32703	64	memtrain/o_334_2.jpg	photodiode	1
68.657	0.5	68657	untrained	32673	94	memtrain/so_067_1.jpg	photodiode	1
69.407	0.5	69407	catch	32671	n/a	catch_padded.jpg	photodiode	0
69.862	0.0	69862	response	6	n/a	n/a	trigger	0
71.459	0.5	71459	untrained	32713	54	memtrain/o_145_1.jpg	photodiode	1
72.36	0.5	72360	trained	32762	5	memtrain/o_067_1.jpg	photodiode	1
73.261	0.5	73261	trained	32767	0	memtrain/o_006_1.jpg	photodiode	1
74.212	0.5	74212	untrained	32686	81	memtrain/o_655_2.jpg	photodiode	1
75.112	0.5	75112	trained	32759	8	memtrain/o_094_1.jpg	photodiode	1
76.013	0.5	76013	catch	32671	n/a	catch_padded.jpg	photodiode	0
76.372	0.0	76372	response	6	n/a	n/a	trigger	0
78.115	0.5	78115	trained	32724	43	memtrain/so_043_2.jpg	photodiode	1
78.966	0.5	78966	untrained	32719	48	memtrain/o_019_2.jpg	photodiode	1
79.716	0.5	79716	untrained	32716	51	memtrain/o_103_2.jpg	photodiode	1
80.667	0.5	80667	catch	32671	n/a	catch_padded.jpg	photodiode	0
81.116	0.0	81116	response	6	n/a	n/a	trigger	0
82.619	0.5	82619	untrained	32707	60	memtrain/o_228_2.jpg	photodiode	1
83.469	0.5	83469	trained	32753	14	memtrain/o_174_1.jpg	photodiode	1
84.42	0.5	84420	trained	32729	38	memtrain/o_603_1.jpg	photodiode	1
85.271	0.5	85271	untrained	32676	91	memtrain/o_605_1.jpg	photodiode	1
86.122	0.5	86122	trained	32755	12	memtrain/o_127_2.jpg	photodiode	1
86.922	0.5	86922	catch	32671	n/a	catch_padded.jpg	photodiode	0
87.276	0.0	87276	response	6	n/a	n/a	trigger	0
88.924	0.5	88924	trained	32741	26	memtrain/o_376_1.jpg	photodiode	1
89.666	0.5	89666	trained	32735	32	memtrain/o_485_2.jpg	photodiode	1
90.617	0.5	90617	untrained	32708	59	memtrain/o_201_2.jpg	photodiode	1
91.526	0.5	91526	catch	32671	n/a	catch_padded.jpg	photodiode	0
91.923	0.0	91923	response	6	n/a	n/a	trigger	0
93.519	0.5	93519	trained	32756	11	memtrain/o_117_2.jpg	photodiode	1
94.37	0.5	94370	trained	32726	41	memtrain/o_663_2.jpg	photodiode	1
95.329	0.5	95329	trained	32748	19	memtrain/o_284_2.jpg	photodiode	1
96.122	0.5	96122	trained	32754	13	memtrain/o_136_1.jpg	photodiode	1
96.972	0.5	96972	catch	32671	n/a	catch_padded.jpg	photodiode	0
97.297	0.0	97297	response	6	n/a	n/a	trigger	0
98.974	0.5	98974	trained	32744	23	memtrain/o_338_2.jpg	photodiode	1
99.925	0.5	99925	untrained	32698	69	memtrain/o_464_2.jpg	photodiode	1
100.826	0.5	100826	untrained	32689	78	memtrain/o_599_1.jpg	photodiode	1
101.576	0.5	101576	trained	32750	17	memtrain/o_232_1.jpg	photodiode	1
102.327	0.5	102327	catch	32671	n/a	catch_padded.jpg	photodiode	0
102.641	0.0	102641	response	6	n/a	n/a	trigger	0
104.429	0.5	104429	untrained	32679	88	memtrain/o_458_1.jpg	photodiode	1
105.229	0.5	105229	untrained	32704	63	memtrain/o_310_2.jpg	photodiode	1
106.03	0.5	106030	untrained	32700	67	memtrain/o_378_1.jpg	photodiode	1
106.831	0.5	106831	untrained	32714	53	memtrain/o_142_2.jpg	photodiode	1
107.631	0.5	107631	catch	32671	n/a	catch_padded.jpg	photodiode	0
107.937	0.0	107937	response	6	n/a	n/a	trigger	0
109.733	0.5	109733	trained	32760	7	memtrain/o_091_2.jpg	photodiode	1
110.584	0.5	110584	untrained	32701	66	memtrain/o_342_2.jpg	photodiode	1
111.485	0.5	111485	trained	32742	25	memtrain/o_358_2.jpg	photodiode	1
112.285	0.5	112285	trained	32737	30	memtrain/o_437_2.jpg	photodiode	1
113.236	0.5	113236	untrained	32694	73	memtrain/o_519_2.jpg	photodiode	1
114.087	0.5	114087	catch	32671	n/a	catch_padded.jpg	photodiode	0
114.429	0.0	114429	response	6	n/a	n/a	trigger	0
116.139	0.5	116139	untrained	32692	75	memtrain/o_564_1.jpg	photodiode	1
